term,str_type,mean_embeddings,category,continental,regional,subclass,source,date_added
africa,entity,1,continental,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
african,"adjective, demonym",1,continental,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
africana,adjective,0,continental,africa,NA,NA,https://en.wikipedia.org/wiki/Continent,2020-05-27
africans,demonym,0,continental,africa,NA,NA,https://en.wikipedia.org/wiki/Continent,2020-05-27
antarctic,"adjective, demonym",1,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
antarctica,entity,1,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
antarctican,"adjective, demonym",0,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
antarcticans,demonym,0,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
asia,entity,1,continental,asia,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
asian,"adjective, demonym",1,continental,asia,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
asians,demonym,0,continental,asia,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
europe,entity,1,continental,europe,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
european,"adjective, demonym",1,continental,europe,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
europeans,demonym,0,continental,europe,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
america,entity,1,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
american,"adjective, demonym",1,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americana,"adjective, demonym",0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
