terms,category,compound,date_added
human,human,FALSE,2021-02-24
humans,human,FALSE,2021-02-24
man,human,FALSE,2021-02-24
men,human,FALSE,2021-02-24
participant,human,FALSE,2021-06-29
participants,human,FALSE,2021-06-29
patient,human,FALSE,2021-06-29
patients,human,FALSE,2021-06-29
people,human,FALSE,2021-02-24
person,human,FALSE,2021-02-24
persons,human,FALSE,2021-02-24
subject,human,FALSE,2021-06-29
subjects,human,FALSE,2021-06-29
woman,human,FALSE,2021-02-24
women,human,FALSE,2021-02-24
aardvark,nonhuman,FALSE,
aardvarks,nonhuman,FALSE,
aardwolf,nonhuman,FALSE,
aardwolfs,nonhuman,FALSE,
aardwolves,nonhuman,FALSE,
affenpinscher,nonhuman,FALSE,
affenpinschers,nonhuman,FALSE,
akbash,nonhuman,FALSE,
akita,nonhuman,FALSE,
akitas,nonhuman,FALSE,
albatross,nonhuman,FALSE,
albatrosses,nonhuman,FALSE,
alga,nonhuman,FALSE,
algae,nonhuman,FALSE,
algal,nonhuman,FALSE,
alligator,nonhuman,FALSE,
alligators,nonhuman,FALSE,
alpaca,nonhuman,FALSE,
alpacas,nonhuman,FALSE,
amphibian,nonhuman,FALSE,
amphibians,nonhuman,FALSE,
anaconda,nonhuman,FALSE,
anacondas,nonhuman,FALSE,
angelfish,nonhuman,FALSE,
angelfishes,nonhuman,FALSE,
anglerfishes,nonhuman,FALSE,
anglerfishes,nonhuman,FALSE,
animal,nonhuman,FALSE,
animals,nonhuman,FALSE,
ant,nonhuman,FALSE,
anteater,nonhuman,FALSE,
anteaters,nonhuman,FALSE,
antelope,nonhuman,FALSE,
antelopes,nonhuman,FALSE,
antlion,nonhuman,FALSE,
antlions,nonhuman,FALSE,
ants,nonhuman,FALSE,
ape,nonhuman,FALSE,
apes,nonhuman,FALSE,
aphid,nonhuman,FALSE,
aphids,nonhuman,FALSE,
armadillo,nonhuman,FALSE,
armadillos,nonhuman,FALSE,
avian,nonhuman,FALSE,
avians,nonhuman,FALSE,
avocet,nonhuman,FALSE,
avocets,nonhuman,FALSE,
axolotl,nonhuman,FALSE,
axolotls,nonhuman,FALSE,
aye-aye,nonhuman,TRUE,
aye-ayes,nonhuman,TRUE,
baboon,nonhuman,FALSE,
baboons,nonhuman,FALSE,
badger,nonhuman,FALSE,
badgers,nonhuman,FALSE,
balinese,nonhuman,FALSE,
bandicoot,nonhuman,FALSE,
bandicoots,nonhuman,FALSE,
barb,nonhuman,FALSE,
barbs,nonhuman,FALSE,
barnacle,nonhuman,FALSE,
barnacles,nonhuman,FALSE,
barracuda,nonhuman,FALSE,
barracudas,nonhuman,FALSE,
basilisk,nonhuman,FALSE,
bass,nonhuman,FALSE,
basses,nonhuman,FALSE,
bat,nonhuman,FALSE,
batoidea,nonhuman,FALSE,
batoidei,nonhuman,FALSE,
bats,nonhuman,FALSE,
beagle,nonhuman,FALSE,
beagles,nonhuman,FALSE,
beaver,nonhuman,FALSE,
beavers,nonhuman,FALSE,
bedbug,nonhuman,FALSE,
bedbugs,nonhuman,FALSE,
bee,nonhuman,FALSE,
bee-eater,nonhuman,TRUE,
bee-eaters,nonhuman,TRUE,
bees,nonhuman,FALSE,
beetle,nonhuman,FALSE,
beetles,nonhuman,FALSE,
bengal,nonhuman,FALSE,
bengals,nonhuman,FALSE,
bichon frise,nonhuman,TRUE,
bichon frises,nonhuman,TRUE,
binturong,nonhuman,FALSE,
binturongs,nonhuman,FALSE,
bird,nonhuman,FALSE,
bird of paradise,nonhuman,TRUE,
birds,nonhuman,FALSE,
birds of paradise,nonhuman,TRUE,
birman,nonhuman,FALSE,
birmans,nonhuman,FALSE,
bison,nonhuman,FALSE,
blackbird,nonhuman,FALSE,
blackbirds,nonhuman,FALSE,
blennies,nonhuman,FALSE,
blenny,nonhuman,FALSE,
bloodhound,nonhuman,FALSE,
bloodhounds,nonhuman,FALSE,
bluebird,nonhuman,FALSE,
bluebirds,nonhuman,FALSE,
boa,nonhuman,FALSE,
boar,nonhuman,FALSE,
boars,nonhuman,FALSE,
boas,nonhuman,FALSE,
bobcat,nonhuman,FALSE,
bobcats,nonhuman,FALSE,
bobolink,nonhuman,FALSE,
bobolinks,nonhuman,FALSE,
bongo,nonhuman,FALSE,
bongos,nonhuman,FALSE,
bonobo,nonhuman,FALSE,
bonobos,nonhuman,FALSE,
boobies,nonhuman,FALSE,
booby,nonhuman,FALSE,
bovid,nonhuman,FALSE,
bovids,nonhuman,FALSE,
buck,nonhuman,FALSE,
bucks,nonhuman,FALSE,
budgerigar,nonhuman,FALSE,
budgerigars,nonhuman,FALSE,
buffalo,nonhuman,FALSE,
buffaloes,nonhuman,FALSE,
bug,nonhuman,FALSE,
bugs,nonhuman,FALSE,
bull,nonhuman,FALSE,
bulldog,nonhuman,FALSE,
bulldogs,nonhuman,FALSE,
bulls,nonhuman,FALSE,
butterflies,nonhuman,FALSE,
butterfly,nonhuman,FALSE,
buzzard,nonhuman,FALSE,
buzzards,nonhuman,FALSE,
cacti,nonhuman,FALSE,
cactus,nonhuman,FALSE,
camel,nonhuman,FALSE,
camels,nonhuman,FALSE,
canaries,nonhuman,FALSE,
canary,nonhuman,FALSE,
canid,nonhuman,FALSE,
canidae,nonhuman,FALSE,
canids,nonhuman,FALSE,
capuchin,nonhuman,FALSE,
capuchins,nonhuman,FALSE,
capybara,nonhuman,FALSE,
capybaras,nonhuman,FALSE,
caracal,nonhuman,FALSE,
caracals,nonhuman,FALSE,
cardinal,nonhuman,FALSE,
cardinals,nonhuman,FALSE,
caribou,nonhuman,FALSE,
caribous,nonhuman,FALSE,
carp,nonhuman,FALSE,
carps,nonhuman,FALSE,
