heterogeneity,heterogeneity_type,word_frequency,heterogeneity_regex,also_tested
antifungal diversity,biological,2,ant(i|i-)fung(us|al),aden(o|o-)vir(us|uses|al)
diverse antifungal,biological,2,antige(n|ns|nic),bacteri(a|al)
diversity of antifungal,biological,3,apopto(tic|sis),vir(us|uses|al)
antigen diversity,biological,2,applicatio(n|ns),are(a|as)
antigenic diversity,biological,2,approac(h|hes),strai(n|ns)
diverse antigen,biological,2,arra(y|ys),nor(o|o-)vir(us|uses|al)
diverse antigens,biological,2,aspec(t|ts),nucleotid(e|es|ic)
diverse antigenic,biological,2,cel(l|lular),tissu(e|es)
diversity of antigen,biological,3,chemica(l|ls|lly),immun(e|ologi(c|cal)|ogenetic|ohistochemical|ophenotypi(c|cal)|oglobulin)
diversity of antigens,biological,3,clon(e|es|al),environmen(t|ts|tal)
apoptotic diversity,biological,2,collectio(n|ns),tum(u)o(r|rs|ral)
apoptosis diversity,biological,2,compoun(d|ds),intratumo(r|rs|ral)
diverse apoptosis,biological,2,dat(ase(t|ts)| se(t|ts)|sourc(e|es)| sourc(e|es)),regulat(ory|ion|ions)
diverse apoptotic,biological,2,disciplin(e|es|ary),
diversity of apoptosis,biological,3,effec(t|ts),
diversity of apoptotic,biological,3,eukaryot(e|es|ic),
diverse applications,general,2,expressio(n|ns|nal),
diversity of applications,general,3,extr(a|a-)cel(l|lular),
diverse approaches,general,2,fiel(d|ds),
diversity of approaches,general,3,functio(n|ns|nal|nally),
diverse array,general,2,fung(i|us|al),
diversity of arrays,methodological,3,int(er|er-|ra|ra-)clon(e|es|al),
array diversity,methodological,2,int(er|er-|ra|ra-)neuro(n|ns|nal),
cell diversity,biological,2,junctio(n|nal),
cellular diversity,biological,2,ligan(d|ds),
diverse cell,biological,2,m(i|a)cr(o|o-)organis(m|ms|mic|mal),
diverse cells,biological,2,mechani(sm|sms|cal|stic),
diverse cellular,biological,2,membran(e|es),
diversity of cell,biological,3,microb(e|es|ial|iome|iota),
diversity of cellular,biological,3,mode(l|ls),
chemical diversity,biological,2,neur(o|o-)peptid(e|es),
chemically diversity,biological,2,neuro(n|ns|nal),
diverse chemical,biological,2,neurotox(ic|in|ins),
diverse chemically,biological,2,organis(m|ms|mic|mal),
diverse chemicals,biological,2,pathoge(n|ns|nic),
diversity of chemical,biological,3,peptid(e|es),
diversity of chemicals,biological,3,plan(t|ts),
diversity of chemically,biological,3,proces(s|ses),
diverse clone,biological,2,propert(y|ies),
diverse clones,biological,2,prote(i(n|ns)|om(e|ic)),
diverse clonal,biological,2,rang(e|es),
diversity of clone,biological,3,recepto(r|rs),
diversity of clones,biological,3,repertoir(e|es),
diversity of clonal,biological,3,respons(e|es),
clone diversity,biological,2,se(t|ts),
diverse collection,general,2,sequenc(e|es),
diverse collections,general,2,signa(l|ls|ling),
collection of diverse,general,3,stimul(us|i),
collections of diverse,general,3,su(b|b-)clon(e|es|al),
diversity of collection,general,3,transcript(ion|ions|ional|ome|omic),
diversity of collections,general,3,macrophag(e|es|al),
diverse compound,biological,2,cu(e|es),
diverse compounds,biological,2,training se(t|ts),
compound diversity,biological,2,phenomen(on|a( as)),
diversity of compound,biological,3,progenito(r|rs),
diversity of compounds,biological,3,topi(c|cs),
diverse discipline,general,2,phag(e|es|al),
diverse disciplines,general,2,patholog(y|ies|ical),
diverse disciplinary,general,2,morpholog(y|ies|ical),
discipline diversity,general,2,produc(t|ts),
disciplinary diversity,general,2,clinica(l (presentatio(n|ns)|indicatio(n|ns)|feature(s)|criteri(on|a))),
diversity of disciplines,general,3,leucocyte(s),
diversity of disciplinary,general,3,(inter(-)s|s)pecies,
diverse battery,methodological,2,battery,
diverse dataset,methodological,2,serotyp(e|es|ic),
diverse datasets,methodological,2,diseas(e profile(s)|e background(s)),
diverse data set,methodological,3,malignanc(y|ies),
diverse data sets,methodological,3,see(d|ds|dling|dlings),
diverse training set,methodological,3,etiolog(y|ies|ical),
diverse training sets,methodological,3,reaso(n|ns),
diverse datasource,methodological,2,criter(ion|ia),
diverse datasources,methodological,2,measur(e|es),
diverse data source,methodological,3,mutatio(n|ns|nal),
diverse data sources,methodological,3,tumor typ(e|es),
diverse effects,general,2,ind(ex|ices),
diversity of effects,general,3,leve(l|ls),
diverse eukaryote,biological,2,rol(e|es),
diverse eukaryotes,biological,2,for(m|ms),
diverse eukaryotic,biological,2,eubacteri(a|as|al),
eukaryotic diversity,biological,2,concentratio(n|ns|al),
diversity of eukaryotes,biological,3,injur(y|ies),
diversity of eukaryotic,biological,3,physiolog(y|ies|ical (conditio(n|ns)|respons(e|es)),
expressional diversity,biological,2,metho(d|ds|dological),
expression diversity,biological,2,cas(e|es),
diverse expressional,biological,2,autoantige(n|ns|nic),
diverse expression,biological,2,metamorphic,
diverse expressions,biological,2,agen(t|ts),
diversity of expression,biological,3,accessio(n|ns),
diversity of expressions,biological,3,pharma(codynamic|logic|logical),
diversity of expressional,biological,3,metazo(a|an),
extracellular diversity,biological,2,targe(t|ts),
extra-cellular diversity,biological,2,commensal bacter(ium|ia),
diverse extracellular ,biological,2,definitio(n|ns),
