exclusion_terms,heterogeneity,heterogeneity_type,heterogeneity_frequency
abnormalities,antifungal diversity,biological,2
abnormality,diverse antifungal,biological,2
accession,diversity in antifungal,biological,3
accessions,diversity of antifungal,biological,3
adenovirus,antigen diversity,biological,2
adenoviruses,antigenic diversity,biological,2
agent,diverse antigen,biological,2
agents,diverse antigens,biological,2
anti-junctional,diverse antigenic,biological,2
antibodies,diversity of antigen,biological,3
antibody,diversity in antigen,biological,3
antifungal,diversity in antigens,biological,3
antifungus,diversity of antigens,biological,3
antigen,apoptotic diversity,biological,2
antigenic,apoptosis diversity,biological,2
antigens,diverse apoptosis,biological,2
apoptosis,diverse apoptotic,biological,2
apoptotic,diversity of apoptosis,biological,3
archaea,diversity of apoptotic,biological,3
autoantigen,diversity in apoptosis,biological,3
autoantigenic,diversity in apoptotic,biological,3
autoantigens,diverse applications,general,2
bacteria,diversity of applications,general,3
bacterially,diversity in applications,general,3
bacterioplankton,diverse approaches,general,2
bacterium,diversity of approaches,general,3
biofilm,diversity in approaches,general,3
bovine,diversity in array,general,3
cell,diverse array,general,2
cells,diversity of arrays,methodological,3
cellular,array diversity,methodological,2
channel,cell diversity,biological,2
channels,cellular diversity,biological,2
chemical,diverse cell,biological,2
chemically,diverse cells,biological,2
chemicals,diverse cellular,biological,2
chloroplast,diversity in cells,biological,3
chloroplasts,diversity in cell,biological,3
clonal,diversity in cellular,biological,3
clonally,diversity of cell,biological,3
clone,diversity of cellular,biological,3
clones,chemical diversity,biological,2
clonotypic,chemically diversity,biological,2
collection,chemically diverse,biological,2
collections,diverse chemical,biological,2
compound,diverse chemically,biological,2
compounds,diverse chemicals,biological,2
concentration,diversity in chemical,biological,3
concentrations,diversity in chemicals,biological,3
cyanobacteria,diversity in chemically,biological,3
cytoadherence,diversity of chemical,biological,3
cytokine,diversity of chemicals,biological,3
cytokines,diversity of chemically,biological,3
electrophoretic,diversity of causes,general,3
enzymatic,diversity in causes,general,3
enzyme,diverse cause,general,2
enzymes,diverse causes,general,2
enzymic,diverse clone,biological,2
epitope,diverse clones,biological,2
epitopes,diverse clonal,biological,2
eubacteria,diversity in clone,biological,3
eubacterial,diversity in clones,biological,3
eubacterium,diversity in clonal,biological,3
eukaryote,diversity in clonally,biological,3
eukaryotes,diversity of clone,biological,3
eukaryotic,diversity of clones,biological,3
expression,clonally diverse,biological,2
expressional,diversity of clonal,biological,3
expressions,clone diversity,biological,2
extra-cellular,diverse collection,general,2
extracellular,diverse collections,general,2
extraintestinal,collection of diverse,general,3
fungal,collections of diverse,general,3
fungi,diversity in collection,general,3
fungus,diversity in collections,general,3
germ-line,diversity of collection,general,3
germline,diversity of collections,general,3
germlines,diverse compound,biological,2
herpesvirus,diverse compounds,biological,2
herpesviruses,compound diversity,biological,2
histocompatability,diversity in compound,biological,3
histocompatable,diversity in compounds,biological,3
immune,diversity of compound,biological,3
immunological,diversity of compounds,biological,3
inter-species,diverse discipline,general,2
interclonal,diverse disciplines,general,2
interspecies,diverse disciplinary,general,2
intraclonal,discipline diversity,general,2
ion,disciplinary diversity,general,2
ions,diversity in disciplines,general,3
junction,diversity in disciplinary,general,3
junctional,diversity of disciplines,general,3
junctions,diversity of disciplinary,general,3
jurassic,diverse battery,methodological,2
leucocyte,diverse data,methodological,2
leucocytes,diverse dataset,methodological,2
leukocyte,diverse datasets,methodological,2
leukocytes,diverse data set,methodological,3
ligand,diverse data sets,methodological,3
ligands,diverse training data,methodological,3
lymphocyte,diverse training set,methodological,3
lymphocytes,diverse training sets,methodological,3
macro-organism,diverse datasource,methodological,2
macro-organismic,diverse datasources,methodological,2
macro-organisms,diverse data source,methodological,3
macroorganism,diverse data sources,methodological,3
macroorganismic,diverse effects,general,2
macroorganisms,diversity of effects,general,3
macrophagal,diversity in effects,general,3
macrophage,diverse eukaryote,biological,2
malignancies,diverse eukaryotes,biological,2
malignancy,diverse eukaryotic,biological,2
membrane,eukaryotic diversity,biological,2
membranes,diversity of eukaryotes,biological,3
membranic,diversity of eukaryotic,biological,3
mesozoic,diversity in eukaryotes,biological,3
metamorphic,diversity in eukaryotic,biological,3
metazoa,expressional diversity,biological,2
metazoan,expression diversity,biological,2
methanogen,diverse expressional,biological,2
methanogens,diverse expression,biological,2
mhc,diverse expressions,biological,2
micro-organism,diversity of expression,biological,3
micro-organismic,diversity of expressions,biological,3
micro-organisms,diversity of expressional,biological,3
microbe,diversity in expression,biological,3
microbes,diversity in expressions,biological,3
microbial,diversity in expressional,biological,3
microbial,extracellular diversity,biological,2
microbiome,extra-cellular diversity,biological,2
microbiomes,diverse extracellular ,biological,2
microorganism,diverse extra-cellular ,biological,2
microorganismic,diversity in extracellular ,biological,3
microorganisms,diversity in extra-cellular ,biological,3
microphagal,diversity of extracellular ,biological,3
microphage,diversity of extra-cellular ,biological,3
mitral,diverse field,ecological,2
monoclonal,diverse fields,ecological,2
morphologies,diversity of field,ecological,3
morphology,diversity of fields,ecological,3
mutagen,diversity in field,ecological,3
mutagenic,diversity in fields,ecological,3
mutagens,field diversity,ecological,2
mutant,functional diversity,biological,2
mutants,function diversity,biological,2
mutation,diversity of function,biological,3
mutational,diversity of functions,biological,3
mutations,diversity of functional,biological,3
neoplasm,diversity in function,biological,3
neoplasms,diversity in functions,biological,3
neural,diversity in functional,biological,3
neuron,diverse functionally,biological,2
neuronal,functionally diverse,biological,2
neurons,diversity in functionally,biological,3
neuropeptide,diversity of functionally,biological,3
neuropeptides,diverse function,biological,2
neurotoxic,diverse functions,biological,2
neurotoxin,diverse functional,biological,2
neurotoxins,diverse fungus,ecological,2
neutrophil,diverse fungi,ecological,2
neutrophils,diversity in fungus,ecological,3
norovirus,diversity in fungi,ecological,3
noroviruses,diversity of fungus,ecological,3
organism,diversity of fungi,ecological,3
organisms,fungal diversity,ecological,2
parasite,fungus diversity,ecological,2
parasites,fungi diversity,ecological,2
parasitic,plant diversity,ecological,2
parenchyma,plants diversity,ecological,2
parenchymal,diverse plant,ecological,2
pathogen,diverse plants,ecological,2
pathogenic,diversity of plant,ecological,3
pathogenically,diversity of plants,ecological,3
pathogens,diversity in plant,ecological,3
pathological,diversity in plants,ecological,3
pathologies,model diversity,methodological,2
pathology,diverse model,methodological,2
peptide,diverse models,methodological,2
peptides,diversity in model,methodological,3
phagal,diversity in models,methodological,3
phage,diversity of model,methodological,3
phagocyte,diversity of models,methodological,3
phagocytes,diverse neural,biological,2
pharmacodynamic,neural diversity,biological,2
pharmacological,diversity in neural,biological,3
pharmalogical,diversity of neural,biological,3
physiologies,diverse neuron,biological,2
physiology,diverse neurons,biological,2
plankton,diverse neuronal,biological,2
plant,diversity in neuron,biological,3
plants,diversity in neurons,biological,3
polyclonal,diversity in neuronal,biological,3
progenitor,diversity of neuron,biological,3
progenitors,diversity of neurons,biological,3
properties,diversity of neuronal,biological,3
property,neuron diversity,biological,2
protea,neuronal diversity,biological,2
protean,metamorphic diversity,ecological,2
protein,diverse metamorphic,ecological,2
proteinic,diversity in metamorphic,ecological,3
proteins,diversity of metamorphic,ecological,3
proteome,diverse agent,biological,2
proteomic,diverse agents,biological,2
receptor,diversity of agent,biological,3
receptors,diversity of agents,biological,3
rotavirus,diversity in agent,biological,3
rotaviruses,diversity in agents,biological,3
seed,agent diversity,biological,2
seedling,agents diversity,biological,2
seedlings,junction diversity,biological,2
seeds,junctional diversity,biological,2
sequence,diverse junction,biological,2
sequences,diverse junctions,biological,2
serotype,diversity of junction,biological,3
serotypes,diversity of junctions,biological,3
serotypic,diversity in junction,biological,3
signal,diversity in junctions,biological,3
signals,diverse junctional,biological,2
stimuli,diversity of junctional,biological,3
stimulus,ligand diversity,biological,2
strain,diverse ligand,biological,2
strains,diverse ligands,biological,2
subclonal,diversity of ligand,biological,3
subclone,diversity of ligands,biological,3
target,interclonal diversity,biological,2
targets,intraclonal diversity,biological,2
tissue,inter-clonal diversity,biological,2
tissues,intra-clonal diversity,biological,2
topic,diverse interclonal,biological,2
topics,diverse intraclonal,biological,2
transcription,diverse inter-clonal,biological,2
transcriptional,diverse intra-clonal,biological,2
transcriptions,diversity of interclonal,biological,3
transcriptome,diversity of intraclonal,biological,3
transcriptomic,diversity of inter-clonal,biological,3
triassic,diversity of intra-clonal,biological,3
tumor,interneuronal diversity,biological,2
tumors,intraneuronal diversity,biological,2
tumour,inter-neuronal diversity,biological,2
tumours,intra-neuronal diversity,biological,2
vasculitis,diverse interneuronal,biological,2
xenobiotic,diverse intraneuronal,biological,2
xenobiotics,diverse inter-neuronal,biological,2
,diverse intra-neuronal,biological,2
,diversity of interneuronal,biological,3
,diversity of intraneuronal,biological,3
,diversity of inter-neuronal,biological,3
,diversity of intra-neuronal,biological,3
,diverse microorganism,biological,2
,diverse microorganisms,biological,2
,diverse macroorganism,biological,2
,diverse macroorganisms,biological,2
,diverse micro-organism,biological,2
,diverse micro-organisms,biological,2
,diverse macro-organism,biological,2
,diverse macro-organisms,biological,2
,diverse organism,biological,2
,diverse organisms,biological,2
,organism diversity,biological,2
,organismic diversity,biological,2
,diverse microorganismic,biological,2
,diverse macroorganismic,biological,2
,diverse micro-organismic,biological,2
,diverse macro-organismic,biological,2
,diversity of organism,biological,3
,diversity of microorganism,biological,3
,diversity of microorganisms,biological,3
,diversity of macroorganism,biological,3
,diversity of macroorganisms,biological,3
,diversity of micro-organism,biological,3
,diversity of micro-organisms,biological,3
,diversity of macro-organism,biological,3
,diversity of macro-organisms,biological,3
,diversity of organisms,biological,3
,micro-organism diversity,biological,2
,micro-organismic diversity,biological,2
,macro-organism diversity,biological,2
,macro-organismic diversity,biological,2
,microorganism diversity,biological,2
,microorganismic diversity,biological,2
,macroorganism diversity,biological,2
,macroorganismic diversity,biological,2
,diverse membrane,biological,2
,diverse membranes,biological,2
,diverse membranic,biological,2
,membrane diversity,biological,2
,membranic diversity,biological,2
