original_subject,collapsed_subject
allergy,biomedical_studies
anatomy & morphology,biomedical_studies
anesthesiology,biomedical_studies
biochemistry & molecular biology,biomedical_studies
biophysics,biomedical_studies
biotechnology & applied microbiology,biomedical_studies
cardiovascular system & cardiology,biomedical_studies
cell biology,biomedical_studies
chemistry,biomedical_studies
critical care medicine,biomedical_studies
"dentistry, oral surgery & medicine",biomedical_studies
dermatology,biomedical_studies
emergency medicine,biomedical_studies
endocrinology & metabolism,biomedical_studies
evolutionary biology,biomedical_studies
food science & technology,biomedical_studies
gastroenterology & hepatology,biomedical_studies
general & internal medicine,biomedical_studies
health care sciences & services,biomedical_studies
hematology,biomedical_studies
immunology,biomedical_studies
infectious diseases,biomedical_studies
integrative & complementary medicine,biomedical_studies
legal medicine,biomedical_studies
life sciences & biomedicine - other topics,biomedical_studies
medical ethics,biomedical_studies
medical informatics,biomedical_studies
medical laboratory technology,biomedical_studies
microbiology,biomedical_studies
microscopy,biomedical_studies
neurosciences & neurology,biomedical_studies
nursing,biomedical_studies
nutrition & dietetics,biomedical_studies
obstetrics & gynecology,biomedical_studies
oncology,biomedical_studies
ophthalmology,biomedical_studies
orthopedics,biomedical_studies
otorhinolaryngology,biomedical_studies
parasitology,biomedical_studies
pathology,biomedical_studies
pediatrics,biomedical_studies
pharmacology & pharmacy,biomedical_studies
physiology,biomedical_studies
"radiology, nuclear medicine & medical imaging",biomedical_studies
rehabilitation,biomedical_studies
research & experimental medicine,biomedical_studies
respiratory system,biomedical_studies
rheumatology,biomedical_studies
surgery,biomedical_studies
toxicology,biomedical_studies
transplantation,biomedical_studies
urology & nephrology,biomedical_studies
virology,biomedical_studies
agriculture,genetics_heredity
archaeology,genetics_heredity
biodiversity & conservation,genetics_heredity
developmental biology,genetics_heredity
entomology,genetics_heredity
environmental sciences & ecology,genetics_heredity
fisheries,genetics_heredity
genetics & heredity,genetics_heredity
marine & freshwater biology,genetics_heredity
mycology,genetics_heredity
oceanography,genetics_heredity
paleontology,genetics_heredity
plant sciences,genetics_heredity
reproductive biology,genetics_heredity
tropical medicine,genetics_heredity
veterinary sciences,genetics_heredity
zoology,genetics_heredity
acoustics,other
architecture,other
arts & humanities - other topics,other
astronomy & astrophysics,other
audiology & speech-language pathology,other
automation & control systems,other
computer science,other
electrochemistry,other
energy & fuels,other
engineering,other
"film, radio & television",other
forestry,other
geology,other
government & law,other
imaging science & photographic technology,other
literature,other
materials science,other
mathematics,other
metallurgy & metallurgical engineering,other
meteorology & atmospheric sciences,other
mining & mineral processing,other
music,other
nuclear science & technology,other
optics,other
physics,other
robotics,other
theater,other
thermodynamics,other
water resources,other
anthropology,social_behavioral
art,social_behavioral
behavioral sciences,social_behavioral
business & economics,social_behavioral
communication,social_behavioral
criminology & penology,social_behavioral
cultural studies,social_behavioral
demography,social_behavioral
education & educational research,social_behavioral
ethnic studies,social_behavioral
family studies,social_behavioral
geography,social_behavioral
geriatrics & gerontology,social_behavioral
history,social_behavioral
history & philosophy of science,social_behavioral
information science & library science,social_behavioral
international relations,social_behavioral
linguistics,social_behavioral
operations research & management science,social_behavioral
philosophy,social_behavioral
psychiatry,social_behavioral
psychology,social_behavioral
"public, environmental & occupational health",social_behavioral
religion,social_behavioral
s studies,social_behavioral
science & technology - other topics,social_behavioral
social issues,social_behavioral
social sciences - other topics,social_behavioral
social work,social_behavioral
sociology,social_behavioral
sport sciences,social_behavioral
substance abuse,social_behavioral
telecommunications,social_behavioral
urban studies,social_behavioral
women&apos,social_behavioral
