hypothesis,category,term,viz_embeddings,mean_embeddings
hypothesis1,ancestry,admixture,1,1
hypothesis1,ancestry,admixtured,0,0
hypothesis1,ancestry,ancestor,1,1
hypothesis1,ancestry,ancestors,0,0
hypothesis1,ancestry,ancestral,1,1
hypothesis1,ancestry,ancestries,0,0
hypothesis1,ancestry,ancestry,1,1
hypothesis1,ancestry,background,1,1
hypothesis1,ancestry,backgrounds,0,0
hypothesis1,ancestry,descendent,1,1
hypothesis1,ancestry,descendents,0,0
hypothesis1,ancestry,descent,1,1
hypothesis1,ancestry,familylineage,1,1
hypothesis1,ancestry,familylineages,0,0
hypothesis1,ancestry,heritage,1,1
hypothesis1,ancestry,heritages,0,0
hypothesis1,ancestry,kin,1,1
hypothesis1,ancestry,kindred,1,1
hypothesis1,cultural,acculturation,0,1
hypothesis1,cultural,crosscultural,0,1
hypothesis1,cultural,crossculturally,0,0
hypothesis1,cultural,cultural,1,1
hypothesis1,cultural,culturally,0,1
hypothesis1,cultural,enculturation,0,0
hypothesis1,cultural,intercultural,0,0
hypothesis1,cultural,interculturally,0,0
hypothesis1,cultural,intracultural,0,0
hypothesis1,cultural,intraculturally,0,0
hypothesis1,cultural,interlinguistic,1,0
hypothesis1,cultural,interlingustically,0,0
hypothesis1,cultural,intralinguistic,0,0
hypothesis1,cultural,intralinguistically,0,0
hypothesis1,cultural,language,1,1
hypothesis1,cultural,languages,0,0
hypothesis1,cultural,linguistic,1,1
hypothesis1,cultural,linguistically,0,0
hypothesis1,cultural,multicultural,1,1
hypothesis1,cultural,multiculturally,0,0
hypothesis1,cultural,religion,1,1
hypothesis1,cultural,religions,0,0
hypothesis1,cultural,religious,1,1
hypothesis1,cultural,religiousness,0,0
hypothesis1,cultural,religiosity,1,1
hypothesis1,cultural,sociocultural,1,1
hypothesis1,disability,ablebodied,0,1
hypothesis1,disability,amputee,0,1
hypothesis1,disability,amputees,0,0
hypothesis1,disability,birthdefect,0,0
hypothesis1,disability,blindness,0,1
hypothesis1,disability,cognitivedelay,0,0
hypothesis1,disability,cognitivelydelayed,0,0
hypothesis1,disability,congenitaldefect,0,0
hypothesis1,disability,cripple,0,1
hypothesis1,disability,crippled,0,1
hypothesis1,disability,deaf,0,1
hypothesis1,disability,deafblind,0,0
hypothesis1,disability,deafmute,0,0
hypothesis1,disability,deafness,0,1
hypothesis1,disability,developmentaldelay,0,0
hypothesis1,disability,developmentallydelayed,0,0
hypothesis1,disability,developmentalimpairment,0,0
hypothesis1,disability,developmentallyimpaired,0,0
hypothesis1,disability,differentlyabled,0,0
hypothesis1,disability,disabilities,0,0
hypothesis1,disability,disability,0,1
hypothesis1,disability,disabled,0,1
hypothesis1,disability,disfigured,0,1
hypothesis1,disability,disfigurement,0,1
hypothesis1,disability,dwarf,0,1
hypothesis1,disability,dwarfism,0,1
hypothesis1,disability,handicap,0,1
hypothesis1,disability,handicapable,0,0
hypothesis1,disability,handicapped,0,1
hypothesis1,disability,hardofhearing,0,0
hypothesis1,disability,hearingimpaired,0,1
hypothesis1,disability,hearingimpairment,0,0
hypothesis1,disability,lame,0,0
hypothesis1,disability,limitedvision,0,0
hypothesis1,disability,lowvision,0,0
hypothesis1,disability,mentalretardation,0,0
hypothesis1,disability,mentallyretarded,0,0
hypothesis1,disability,neuroatypic,0,0
hypothesis1,disability,neuroatypical,0,0
hypothesis1,disability,neurodiverse,0,0
hypothesis1,disability,neurodiversity,0,0
hypothesis1,disability,neurotypical,0,0
hypothesis1,disability,paraplegic,0,1
hypothesis1,disability,paraplegics,0,0
hypothesis1,disability,specialneeds,0,0
hypothesis1,disability,visualimpairment,0,0
hypothesis1,disability,visuallyimpaired,0,0
hypothesis1,diversity,diverse,1,1
hypothesis1,diversity,diversely,0,0
hypothesis1,diversity,diversified,0,1
hypothesis1,diversity,diversification,0,1
hypothesis1,diversity,diversifying,0,0
hypothesis1,diversity,diversity,1,1
hypothesis1,equity,disparities,0,0
hypothesis1,equity,disparity,1,1
hypothesis1,equity,equality,1,1
hypothesis1,equity,equities,0,0
hypothesis1,equity,equity,1,1
hypothesis1,equity,harassment,1,1
hypothesis1,equity,inclusiveness,0,0
hypothesis1,equity,inclusivity,0,0
hypothesis1,equity,inequalities,0,0
hypothesis1,equity,inequality,1,1
hypothesis1,equity,inequities,0,0
hypothesis1,equity,inequity,1,1
hypothesis1,equity,injustice,0,1
hypothesis1,equity,injustices,0,0
hypothesis1,equity,justice,1,1
hypothesis1,equity,justices,0,0
hypothesis1,equity,microaggression,0,0
hypothesis1,equity,microaggressions,0,0
hypothesis1,equity,oppressing,0,0
hypothesis1,equity,oppression,1,1
hypothesis1,equity,oppressive,1,1
hypothesis1,equity,opresssions,0,0
hypothesis1,equity,prejudiced,1,1
hypothesis1,equity,prejudicing,0,0
hypothesis1,equity,prejudized,0,0
hypothesis1,equity,socialbiases,0,0
hypothesis1,equity,socialdiscrimination,0,0
hypothesis1,equity,stereotype,1,1
hypothesis1,equity,stereotypes,0,0
hypothesis1,equity,stereotyping,0,0
hypothesis1,lifecourse,adolescence,0,1
hypothesis1,lifecourse,adolescent,0,1
hypothesis1,lifecourse,adolescents,0,0
hypothesis1,lifecourse,adult,0,1
hypothesis1,lifecourse,adulthood,0,1
hypothesis1,lifecourse,age,0,1
hypothesis1,lifecourse,agerelated,0,0
hypothesis1,lifecourse,agespecific,0,0
hypothesis1,lifecourse,aging,0,1
hypothesis1,lifecourse,ageing,0,1
hypothesis1,lifecourse,babies,0,0
hypothesis1,lifecourse,baby,0,1
hypothesis1,lifecourse,babyhood,0,0
hypothesis1,lifecourse,boyhood,0,0
hypothesis1,lifecourse,child,0,1
hypothesis1,lifecourse,children,0,0
hypothesis1,lifecourse,childhood,0,1
hypothesis1,lifecourse,elder,0,1
hypothesis1,lifecourse,elderly,0,1
hypothesis1,lifecourse,geriatric,0,1
hypothesis1,lifecourse,girlhood,0,0
hypothesis1,lifecourse,infancy,0,1
hypothesis1,lifecourse,infant,0,1
hypothesis1,lifecourse,kid,0,1
hypothesis1,lifecourse,kids,0,0
hypothesis1,lifecourse,middleage,0,0
hypothesis1,lifecourse,middleaged,0,0
hypothesis1,lifecourse,newborn,0,1
hypothesis1,lifecourse,newborns,0,0
hypothesis1,lifecourse,old,0,1
hypothesis1,lifecourse,older,0,1
hypothesis1,lifecourse,pediatric,1,1
hypothesis1,lifecourse,preadolescence,0,0
hypothesis1,lifecourse,preadolescent,0,1
hypothesis1,lifecourse,preadolescents,0,0
hypothesis1,lifecourse,prepubescence,0,0
hypothesis1,lifecourse,prepubescent,0,1
hypothesis1,lifecourse,prepubescents,0,0
hypothesis1,lifecourse,pubescence,0,0
hypothesis1,lifecourse,pubescent,0,1
hypothesis1,lifecourse,pubescents,0,0
hypothesis1,lifecourse,teen,0,1
hypothesis1,lifecourse,teenager,0,1
hypothesis1,lifecourse,teenagers,0,0
hypothesis1,lifecourse,teens,0,0
hypothesis1,lifecourse,yearsold,0,0
hypothesis1,lifecourse,yearsofage,0,0
hypothesis1,lifecourse,young,0,1
hypothesis1,lifecourse,younger,0,1
hypothesis1,lifecourse,youngest,0,1
hypothesis1,migration,asylee,0,0
hypothesis1,migration,asylees,0,0
hypothesis1,migration,asylumseeker,0,0
hypothesis1,migration,asylumseekers,0,0
hypothesis1,migration,citizen,0,1
hypothesis1,migration,citizens,0,0
hypothesis1,migration,citizenship,0,1
hypothesis1,migration,foreignborn,0,1
hypothesis1,migration,immigrant,0,0
hypothesis1,migration,immigrants,0,0
hypothesis1,migration,nativeborn,0,0
hypothesis1,migration,migrants,0,0
hypothesis1,migration,migration,1,1
hypothesis1,migration,migrations,0,0
hypothesis1,migration,nonnative,0,1
hypothesis1,migration,noncitizen,1,0
hypothesis1,migration,noncitizens,0,0
hypothesis1,migration,nativeborn,0,1
hypothesis1,migration,refugee,0,1
hypothesis1,migration,refugees,0,0
hypothesis1,minority,marginalized,0,1
hypothesis1,minority,minorities,0,0
hypothesis1,minority,minoritygroup,0,0
hypothesis1,minority,minoritygroups,0,0
hypothesis1,minority,minoritypopulation,0,0
hypothesis1,minority,minoritypopulations,0,0
hypothesis1,minority,underrepresented,1,1
hypothesis1,minority,minority,1,1
hypothesis1,race_ethnicity,biracial,1,1
hypothesis1,race_ethnicity,biracially,0,0
hypothesis1,race_ethnicity,biethnic,0,0
hypothesis1,race_ethnicity,biethnically,0,0
hypothesis1,race_ethnicity,ethnic,1,1
hypothesis1,race_ethnicity,ethnicity,1,1
hypothesis1,race_ethnicity,ethnicities,0,0
hypothesis1,race_ethnicity,ethnically,0,0
hypothesis1,race_ethnicity,ethnocultural,0,1
hypothesis1,race_ethnicity,ethnoculturally,0,0
hypothesis1,race_ethnicity,ethnoracial,0,0
hypothesis1,race_ethnicity,multiethnic,1,1
hypothesis1,race_ethnicity,multiethnically,0,0
hypothesis1,race_ethnicity,multiracial,1,1
hypothesis1,race_ethnicity,multiracially,0,0
hypothesis1,race_ethnicity,race,1,1
hypothesis1,race_ethnicity,races,0,0
hypothesis1,race_ethnicity,racial,1,1
hypothesis1,race_ethnicity,racially,0,0
hypothesis1,race_ethnicity,racism,1,1
hypothesis1,race_ethnicity,racisms,0,0
hypothesis1,race_ethnicity,racist,1,1
hypothesis1,race_ethnicity,racists,0,0
hypothesis1,sex_gender,agender,0,0
hypothesis1,sex_gender,agendered,0,0
hypothesis1,sex_gender,androgynous,0,0
hypothesis1,sex_gender,bigender,0,0
hypothesis1,sex_gender,boy,0,1
hypothesis1,sex_gender,boys,0,0
hypothesis1,sex_gender,cisgender,0,0
hypothesis1,sex_gender,cisgendered,0,0
hypothesis1,sex_gender,cisnormative,0,0
hypothesis1,sex_gender,cispeople,0,0
hypothesis1,sex_gender,cisperson,0,0
hypothesis1,sex_gender,demifae,0,0
hypothesis1,sex_gender,doublesex,0,0
hypothesis1,sex_gender,female,1,1
hypothesis1,sex_gender,femaleassignedatbirth,0,0
hypothesis1,sex_gender,femalepresenting,0,0
hypothesis1,sex_gender,femaletomale,0,0
hypothesis1,sex_gender,femalesex,0,0
hypothesis1,sex_gender,femaletomale,0,0
hypothesis1,sex_gender,females,0,0
hypothesis1,sex_gender,feminine,0,1
hypothesis1,sex_gender,feminineofcenter,0,0
hypothesis1,sex_gender,femininepresenting,0,0
hypothesis1,sex_gender,feminities,0,0
hypothesis1,sex_gender,feminity,0,0
hypothesis1,sex_gender,femme,0,0
hypothesis1,sex_gender,gender,1,1
hypothesis1,sex_gender,genderbinary,0,0
hypothesis1,sex_gender,genderneutrois,0,0
hypothesis1,sex_gender,gendernonconforming,0,0
hypothesis1,sex_gender,gendernormative,0,0
hypothesis1,sex_gender,gendervariant,0,0
hypothesis1,sex_gender,gendered,0,1
hypothesis1,sex_gender,genderfae,0,0
hypothesis1,sex_gender,genderfaer,0,0
hypothesis1,sex_gender,genderfaun,0,0
hypothesis1,sex_gender,genderfaunet,0,0
hypothesis1,sex_gender,genderflor,0,0
hypothesis1,sex_gender,genderfluid,0,0
hypothesis1,sex_gender,gendermars,0,0
hypothesis1,sex_gender,genderqueer,0,0
hypothesis1,sex_gender,gendersatyr,0,0
hypothesis1,sex_gender,genderselkie,0,0
hypothesis1,sex_gender,gendervae,0,0
hypothesis1,sex_gender,girl,0,1
hypothesis1,sex_gender,girls,0,0
hypothesis1,sex_gender,gnc,0,0
hypothesis1,sex_gender,intersex,0,1
hypothesis1,sex_gender,intersexual,0,1
hypothesis1,sex_gender,male,1,1
hypothesis1,sex_gender,maleassignedatbirth,0,0
hypothesis1,sex_gender,malesex,0,0
hypothesis1,sex_gender,maletofemale,0,0
hypothesis1,sex_gender,males,0,0
hypothesis1,sex_gender,man,0,1
hypothesis1,sex_gender,masculine,0,1
hypothesis1,sex_gender,masculineofcenter,0,0
hypothesis1,sex_gender,masculinepresenting,0,0
hypothesis1,sex_gender,masculinities,0,0
hypothesis1,sex_gender,masculinity,0,1
hypothesis1,sex_gender,men,1,0
hypothesis1,sex_gender,misogynous,0,0
hypothesis1,sex_gender,nonbinary,0,0
hypothesis1,sex_gender,patriarchy,0,0
hypothesis1,sex_gender,patriarchal,0,0
hypothesis1,sex_gender,patrilineal,0,0
hypothesis1,sex_gender,polygender,0,0
hypothesis1,sex_gender,sex,1,1
hypothesis1,sex_gender,sexadjusted,0,1
hypothesis1,sex_gender,sexassignedatbirth,0,0
hypothesis1,sex_gender,sexchromosome,0,0
hypothesis1,sex_gender,sexchromosomes,0,0
hypothesis1,sex_gender,sexdetermination,0,0
hypothesis1,sex_gender,sexdetermining,0,0
hypothesis1,sex_gender,sexdifference,0,0
hypothesis1,sex_gender,sexgene,0,0
hypothesis1,sex_gender,sexgenes,0,0
hypothesis1,sex_gender,sexhormone,0,0
hypothesis1,sex_gender,sexhormones,0,0
hypothesis1,sex_gender,sexlinked,0,0
hypothesis1,sex_gender,sexmatched,0,0
hypothesis1,sex_gender,sexratio,0,0
hypothesis1,sex_gender,sexspecific,0,0
hypothesis1,sex_gender,sexsteroid,0,0
hypothesis1,sex_gender,sexsteroids,0,0
hypothesis1,sex_gender,sexstratified,0,0
hypothesis1,sex_gender,sexed,0,1
hypothesis1,sex_gender,sexes,0,0
hypothesis1,sex_gender,sexism,0,1
hypothesis1,sex_gender,sexist,0,0
hypothesis1,sex_gender,sexualdifferentiation,0,0
hypothesis1,sex_gender,sexualdimorphism,0,0
hypothesis1,sex_gender,sexuallydimorphic,0,0
hypothesis1,sex_gender,transgender,0,0
hypothesis1,sex_gender,transgendered,0,0
hypothesis1,sex_gender,transman,0,0
hypothesis1,sex_gender,transmen,0,0
hypothesis1,sex_gender,transphobic,0,0
hypothesis1,sex_gender,transsexual,0,1
hypothesis1,sex_gender,transsexuals,0,0
hypothesis1,sex_gender,transwoman,0,0
hypothesis1,sex_gender,transwomen,0,0
hypothesis1,sex_gender,woman,0,1
hypothesis1,sex_gender,women,1,0
hypothesis1,sexuality,androphile,0,0
hypothesis1,sexuality,androphiles,0,0
hypothesis1,sexuality,androphilic,0,0
hypothesis1,sexuality,androsexual,0,0
hypothesis1,sexuality,androsexuals,0,0
hypothesis1,sexuality,aromantic,0,0
hypothesis1,sexuality,aromantics,0,0
hypothesis1,sexuality,bicurious,0,0
hypothesis1,sexuality,biphobic,0,0
hypothesis1,sexuality,bisexual,0,1
hypothesis1,sexuality,bisexuals,0,0
hypothesis1,sexuality,butch,0,0
hypothesis1,sexuality,commercialsex,0,0
hypothesis1,sexuality,demiromantic,0,0
hypothesis1,sexuality,demiromantics,0,0
hypothesis1,sexuality,gay,1,1
hypothesis1,sexuality,gays,0,0
hypothesis1,sexuality,glbt,0,0
hypothesis1,sexuality,gsm,0,0
hypothesis1,sexuality,gynephilic,0,0
hypothesis1,sexuality,gynesexual,0,0
hypothesis1,sexuality,gynesexuals,0,0
hypothesis1,sexuality,heteronormative,0,0
hypothesis1,sexuality,heterosexist,0,0
hypothesis1,sexuality,heterosexual,1,1
hypothesis1,sexuality,heterosexuals,0,0
hypothesis1,sexuality,homosexual,1,1
hypothesis1,sexuality,homosexuals,0,0
hypothesis1,sexuality,lesbian,1,1
hypothesis1,sexuality,lesbians,0,0
hypothesis1,sexuality,lgb,0,0
hypothesis1,sexuality,lgbt,0,0
hypothesis1,sexuality,lgbt,0,0
hypothesis1,sexuality,lgbtq,0,0
hypothesis1,sexuality,lgbtq,0,0
hypothesis1,sexuality,lgbtqi,0,0
hypothesis1,sexuality,lgbtqia,0,0
hypothesis1,sexuality,lgbtqiaa,0,0
hypothesis1,sexuality,monoamorous,0,0
hypothesis1,sexuality,pansexual,0,0
hypothesis1,sexuality,polyamorous,0,0
hypothesis1,sexuality,polyamory,0,0
hypothesis1,sexuality,queer,0,0
hypothesis1,sexuality,sexeducation,0,0
hypothesis1,sexuality,sexlife,0,0
hypothesis1,sexuality,sexpartner,0,0
hypothesis1,sexuality,sexpartners,0,0
hypothesis1,sexuality,sexworker,0,0
hypothesis1,sexuality,sexworkers,0,0
hypothesis1,sexuality,sexual,0,0
hypothesis1,sexuality,sexualactivity,0,0
