publication,count,include,overall_rank
PloS one,256408,1,1
Proceedings of the National Academy of Sciences of the United States of America,152428,1,2
Scientific reports,128733,1,3
"Journal of immunology (Baltimore, Md. : 1950)",71713,1,4
"Science (New York, N.Y.)",61055,1,5
Brain research,55305,1,6
Cancer research,49364,1,7
The Journal of neuroscience : the official journal of the Society for Neuroscience,48026,1,8
Nature communications,45557,1,9
Nature,40546,1,10
Infection and immunity,35093,1,11
Cancer,34719,1,12
Neuroscience letters,34376,1,13
The Journal of clinical endocrinology and metabolism,32668,1,14
European journal of pharmacology,31823,1,15
The Journal of clinical investigation,31426,1,16
Endocrinology,30987,1,17
The Journal of urology,28963,1,18
The Journal of experimental medicine,27006,1,19
The Annals of thoracic surgery,26818,1,20
Circulation,26665,1,21
Neuroscience,26024,1,22
The American journal of cardiology,25958,1,23
Neurology,25728,1,24
The Journal of pharmacology and experimental therapeutics,25377,1,25
International journal of cancer,25212,1,26
Cell,25177,1,27
Oncotarget,24896,1,28
Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,24350,1,29
International journal of environmental research and public health,24242,1,30
The Journal of infectious diseases,24072,1,31
American journal of obstetrics and gynecology,23767,1,32
Radiology,23312,1,33
Vaccine,22949,1,34
Medicine,22708,1,35
British journal of pharmacology,22551,1,36
Gene,22497,1,37
Oncogene,22391,1,38
Pediatrics,22300,1,39
NeuroImage,22197,1,40
Anticancer research,21561,1,41
Chest,21434,1,42
Annals of the New York Academy of Sciences,21400,1,43
Virology,20886,1,44
The EMBO journal,20795,1,45
eLife,20276,1,46
British journal of cancer,20071,1,47
Fertility and sterility,19685,1,48
BMJ open,19664,1,49
Clinical cancer research : an official journal of the American Association for Cancer Research,19476,1,50
World journal of gastroenterology,19053,1,51
"Lancet (London, England)",19039,1,52
Urology,19020,1,53
Advances in experimental medicine and biology,18843,1,54
The Journal of comparative neurology,18747,1,55
Transplantation,18634,1,56
BMC public health,18603,1,57
Obstetrics and gynecology,18445,1,58
BioMed research international,18168,1,59
Biochemical pharmacology,18098,1,60
"International journal of radiation oncology, biology, physics",17863,1,61
Clinical orthopaedics and related research,17653,1,62
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,17528,1,63
Gastroenterology,17518,1,64
The American journal of pathology,17386,1,65
Journal of cellular physiology,17349,1,66
Stroke,17254,1,67
BMC genomics,17246,1,68
Journal of the American College of Cardiology,17204,1,69
The American journal of clinical nutrition,17108,1,70
AJR. American journal of roentgenology,17033,1,71
"Development (Cambridge, England)",17028,1,72
Mutation research,17005,1,73
Current biology : CB,16933,1,74
Genetics,16839,1,75
"Bioinformatics (Oxford, England)",16800,1,76
Diabetes,16793,1,77
Frontiers in psychology,16782,1,78
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,16706,1,79
International journal of cardiology,16651,1,80
BMJ case reports,16400,1,81
Nursing standard (Royal College of Nursing (Great Britain) : 1987),16238,1,82
Spine,16098,1,83
European journal of immunology,16080,1,84
Journal of neurosurgery,16075,1,85
Journal of pediatric surgery,16055,1,86
Magnetic resonance in medicine,15953,1,87
The Journal of nutrition,15897,1,88
Psychopharmacology,15883,1,89
Transplantation proceedings,15782,1,90
Neuron,15701,1,91
The Journal of pediatrics,15624,1,92
"Hepatology (Baltimore, Md.)",15582,1,93
The Laryngoscope,15529,1,94
Social science & medicine (1982),15451,1,95
Human molecular genetics,15321,1,96
Plastic and reconstructive surgery,15227,1,97
British journal of haematology,15106,1,98
JAMA,15012,1,99
Journal of pharmaceutical sciences,14982,1,100
Studies in health technology and informatics,14950,1,101
