black,native_american,pacific_islander,hispanic_latinx,asian,white,race,ethnicity
african american,alaskan,hawaiian,hispanic,asian,caucasian,race,ethnic
african americans,alaskans,hawaiians,hispanic american,asian american,caucasians,racial,ethnicity
african-american,alaska native,native hawaiian,hispanic americans,asian-american,white,racially,ethnically
african-americans,alaska natives,native hawaiians,hispanic-american,asians,whites,,
afro american,alaska-native,native-hawaiian,hispanic-americans,,caucasian-american,,
afro americans,alaska-natives,native-hawaiians,hispanics,,caucasian-americans,,
afro-american,alaskan native,pacific islander,latino,,,,
afro-americans,alaskan natives,pacific islanders,latino/a,,,,
black,alaskan-native,pacific-islander,latino/as,,,,
blacks,alaskan-natives,pacific-islanders,latinos,,,,
negro,american indian,,latinx,,,,
negroes,american indians,,latinxs,,,,
,american-indian,,,,,,
,american-indians,,,,,,
,native american,,,,,,
,native americans,,,,,,
,native-american,,,,,,
,native-americans,,,,,,
