,rank,term_x,score_x,year_x,term_y,score_y,year_y
0,0,socialdiversity,0.6783135533332825,1990-2000,socialdiversity,0.688372790813446,2010-2020
1,1,socialdiverse,0.6602105498313904,1990-2000,socialdiverse,0.6686142086982727,2010-2020
2,2,divergent,0.5358574390411377,1990-2000,diversified,0.5786884427070618,2010-2020
3,3,unique,0.5096464157104492,1990-2000,diversification,0.5134361982345581,2010-2020
4,4,diversification,0.49836787581443787,1990-2000,variety,0.49965739250183105,2010-2020
5,5,heterogeneity,0.48978355526924133,1990-2000,heterogeneous,0.49540194869041443,2010-2020
6,6,divergence,0.4780580401420593,1990-2000,unique,0.47760117053985596,2010-2020
7,7,distinct,0.4750959277153015,1990-2000,distinct,0.47484076023101807,2010-2020
8,8,broader,0.4707357585430145,1990-2000,prokaryote,0.4689800441265106,2010-2020
9,9,evolutionary,0.47038567066192627,1990-2000,divergent,0.46481814980506897,2010-2020
10,10,variety,0.4690803289413452,1990-2000,divergence,0.4634886085987091,2010-2020
11,11,heterogeneous,0.46431198716163635,1990-2000,broad,0.4622417688369751,2010-2020
12,12,complexity,0.4556582272052765,1990-2000,complexity,0.46006476879119873,2010-2020
13,13,disparate,0.4549301564693451,1990-2000,socialdiversified,0.44673919677734375,2010-2020
14,14,socialdiversification,0.4508953094482422,1990-2000,disparate,0.44634363055229187,2010-2020
15,15,ubiquitous,0.45053040981292725,1990-2000,various,0.44094419479370117,2010-2020
16,16,distinctive,0.44861337542533875,1990-2000,multitude,0.4407854378223419,2010-2020
17,17,relatedness,0.44782283902168274,1990-2000,richness,0.4396939277648926,2010-2020
18,18,heterogenous,0.4459856152534485,1990-2000,biogeographic,0.43893691897392273,2010-2020
19,19,shared,0.4450977146625519,1990-2000,assortment,0.4345738887786865,2010-2020
20,20,broad,0.4428878724575043,1990-2000,breadth,0.43439164757728577,2010-2020
21,21,repertoire,0.4424760341644287,1990-2000,broader,0.4317812919616699,2010-2020
22,22,hierarchy,0.43859851360321045,1990-2000,protist,0.4309096038341522,2010-2020
23,23,monophyletic,0.4363188147544861,1990-2000,socialdiversification,0.4278631806373596,2010-2020
24,24,similarity,0.4352027475833893,1990-2000,eukaryote,0.42730480432510376,2010-2020
25,25,certain,0.4344526529312134,1990-2000,taxonomic,0.4252423346042633,2010-2020
26,26,promiscuous,0.43423905968666077,1990-2000,evolutionary,0.4230377674102783,2010-2020
27,27,taxon,0.4308730661869049,1990-2000,cosmopolitan,0.4227588474750519,2010-2020
28,28,ancient,0.43034297227859497,1990-2000,repertoire,0.42114412784576416,2010-2020
29,29,extant,0.42914578318595886,1990-2000,similarity,0.4206571877002716,2010-2020
30,30,redundancy,0.42657628655433655,1990-2000,diversify,0.41611355543136597,2010-2020
31,31,phylogeny,0.4264349937438965,1990-2000,heterogenous,0.4144909083843231,2010-2020
32,32,phylum,0.4258447587490082,1990-2000,taxonomically,0.41282153129577637,2010-2020
33,33,uniqueness,0.41612234711647034,1990-2000,metazoan,0.41112571954727173,2010-2020
34,34,ecology,0.41409891843795776,1990-2000,metazoa,0.4100077450275421,2010-2020
35,35,multitude,0.4120601415634155,1990-2000,biogeography,0.40902402997016907,2010-2020
36,36,vertebrate,0.41014447808265686,1990-2000,symbiont,0.40749040246009827,2010-2020
37,37,differing,0.40710482001304626,1990-2000,structuring,0.4074162542819977,2010-2020
38,38,diversified,0.39995256066322327,1990-2000,dinoflagellate,0.4072904884815216,2010-2020
39,39,phylogenetic,0.3982754945755005,1990-2000,prokaryotic,0.40726232528686523,2010-2020
40,40,conserved,0.3977203369140625,1990-2000,archaeal,0.4070134162902832,2010-2020
41,41,coevolution,0.39565542340278625,1990-2000,heterogeneity,0.40492483973503113,2010-2020
42,42,dissimilar,0.3951197564601898,1990-2000,monophyletic,0.4046160578727722,2010-2020
43,43,various,0.39495038986206055,1990-2000,different,0.40223023295402527,2010-2020
44,44,pleiotropic,0.3933149576187134,1990-2000,numerous,0.4018491208553314,2010-2020
45,45,intricate,0.3924436569213867,1990-2000,archaea,0.4013634920120239,2010-2020
46,46,myriad,0.3903404772281647,1990-2000,variation,0.4000978469848633,2010-2020
47,47,combinatorial,0.3896399736404419,1990-2000,eukaryotic,0.3998802602291107,2010-2020
48,48,conservation,0.38908594846725464,1990-2000,prochlorococcus,0.39858004450798035,2010-2020
49,49,different,0.38652172684669495,1990-2000,ancestral,0.39742451906204224,2010-2020
