,rank,term_x,score_x,year_x,term_y,score_y,year_y
0,0,divergence,0.5194271206855774,1990-2000,diversified,0.5702537894248962,2010-2020
1,1,divergent,0.5140233635902405,1990-2000,diversification,0.504038393497467,2010-2020
2,2,diversification,0.5031852722167969,1990-2000,heterogeneous,0.49834269285202026,2010-2020
3,3,heterogeneous,0.5008913278579712,1990-2000,divergent,0.48190051317214966,2010-2020
4,4,unique,0.5006442666053772,1990-2000,distinct,0.47649919986724854,2010-2020
5,5,heterogeneity,0.4902592599391937,1990-2000,variety,0.4754656255245209,2010-2020
6,6,broader,0.4847416579723358,1990-2000,unique,0.470758855342865,2010-2020
7,7,variety,0.48198896646499634,1990-2000,disparate,0.46136730909347534,2010-2020
8,8,ancient,0.47347626090049744,1990-2000,divergence,0.45833897590637207,2010-2020
9,9,complexity,0.46848443150520325,1990-2000,biogeographic,0.45487213134765625,2010-2020
10,10,phylogeny,0.4606020152568817,1990-2000,broad,0.4527425169944763,2010-2020
11,11,heterogenous,0.459494411945343,1990-2000,richness,0.44999101758003235,2010-2020
12,12,evolutionary,0.4561830163002014,1990-2000,assortment,0.4468514323234558,2010-2020
13,13,disparate,0.455803245306015,1990-2000,broader,0.4437219798564911,2010-2020
14,14,distinct,0.45024195313453674,1990-2000,cosmopolitan,0.4424439072608948,2010-2020
15,15,relatedness,0.4469762444496155,1990-2000,complexity,0.43341749906539917,2010-2020
16,16,taxon,0.4452565610408783,1990-2000,biogeography,0.4326407313346863,2010-2020
17,17,monophyletic,0.4448759853839874,1990-2000,protist,0.42931827902793884,2010-2020
18,18,extant,0.43957656621932983,1990-2000,relatedness,0.42658889293670654,2010-2020
19,19,distinctive,0.43927139043807983,1990-2000,structuring,0.42365679144859314,2010-2020
20,20,ubiquitous,0.43784910440444946,1990-2000,prokaryote,0.42269137501716614,2010-2020
21,21,redundancy,0.4365520477294922,1990-2000,heterogeneity,0.4167001247406006,2010-2020
22,22,multitude,0.43265995383262634,1990-2000,variation,0.41649430990219116,2010-2020
23,23,shared,0.43194660544395447,1990-2000,inhabiting,0.4156849682331085,2010-2020
24,24,certain,0.4299009442329407,1990-2000,similarity,0.41464102268218994,2010-2020
25,25,broad,0.42402663826942444,1990-2000,sympatric,0.4131729304790497,2010-2020
26,26,repertoire,0.41937628388404846,1990-2000,diversify,0.41239607334136963,2010-2020
27,27,hierarchy,0.4183907210826874,1990-2000,various,0.4122954308986664,2010-2020
28,28,coevolution,0.41773954033851624,1990-2000,heterogenous,0.4122608006000519,2010-2020
29,29,diverged,0.4117582142353058,1990-2000,evolutionary,0.40700989961624146,2010-2020
30,30,differing,0.4047829508781433,1990-2000,archaeal,0.4062371253967285,2010-2020
31,31,different,0.402607262134552,1990-2000,ecology,0.404802143573761,2010-2020
32,32,phylum,0.40090152621269226,1990-2000,breadth,0.40476909279823303,2010-2020
33,33,ancestral,0.4008914530277252,1990-2000,monophyletic,0.4037711024284363,2010-2020
34,34,ecology,0.4006616473197937,1990-2000,taxonomic,0.4037230908870697,2010-2020
35,35,retrotransposons,0.40055540204048157,1990-2000,dissimilarity,0.4010658264160156,2010-2020
36,36,variation,0.398130863904953,1990-2000,multitude,0.3985013961791992,2010-2020
37,37,similarity,0.3972502052783966,1990-2000,admixed,0.39762428402900696,2010-2020
38,38,invertebrate,0.3970645070075989,1990-2000,taxonomically,0.39680740237236023,2010-2020
39,39,phylogenetic,0.39512908458709717,1990-2000,phylogeographic,0.3959856629371643,2010-2020
40,40,promiscuous,0.3927208483219147,1990-2000,different,0.39533889293670654,2010-2020
41,41,taxonomic,0.3907129168510437,1990-2000,assemblage,0.3949223756790161,2010-2020
42,42,many,0.3876766860485077,1990-2000,biodiversity,0.3948306143283844,2010-2020
43,43,prokaryote,0.38761869072914124,1990-2000,distinctive,0.39478957653045654,2010-2020
44,44,uniqueness,0.3847528100013733,1990-2000,repertoire,0.39180853962898254,2010-2020
45,45,various,0.38330504298210144,1990-2000,nativeamerican,0.3901754915714264,2010-2020
46,46,amerindian,0.38272982835769653,1990-2000,symbiont,0.38926708698272705,2010-2020
47,47,ape,0.38181695342063904,1990-2000,taxon,0.3889215886592865,2010-2020
48,48,biologist,0.37993746995925903,1990-2000,inhabit,0.3889077603816986,2010-2020
49,49,metazoan,0.3788154125213623,1990-2000,shared,0.3887849450111389,2010-2020
