,rank,term_x,score_x,year_x,term_y,score_y,year_y
0,0,diversity,0.6988253593444824,1990-2000,diversity,0.7113701105117798,2010-2020
1,1,diverse,0.6277722120285034,1990-2000,diverse,0.6224997043609619,2010-2020
2,2,amerindian,0.5554022192955017,1990-2000,socialdiversified,0.5270242691040039,2010-2020
3,3,ancient,0.5551298260688782,1990-2000,cosmopolitan,0.5038014054298401,2010-2020
4,4,nativeamerican,0.5455784201622009,1990-2000,heterogeneous,0.48828810453414917,2010-2020
5,5,divergence,0.5237970948219299,1990-2000,biogeographic,0.48448121547698975,2010-2020
6,6,extant,0.5115903615951538,1990-2000,socialdiversification,0.48245230317115784,2010-2020
7,7,relatedness,0.5106990933418274,1990-2000,heterogenous,0.4572610855102539,2010-2020
8,8,brazilian,0.5041831135749817,1990-2000,sympatric,0.45603707432746887,2010-2020
9,9,heterogeneity,0.5041701793670654,1990-2000,pygmy,0.446103036403656,2010-2020
10,10,african,0.5037500262260437,1990-2000,amerindian,0.44416502118110657,2010-2020
11,11,eskimo,0.5017902255058289,1990-2000,broader,0.4439946413040161,2010-2020
12,12,ecology,0.5008462071418762,1990-2000,nativeamerican,0.44287893176078796,2010-2020
13,13,indigenous,0.5003965497016907,1990-2000,diversified,0.4426358938217163,2010-2020
14,14,polynesian,0.49589189887046814,1990-2000,biogeography,0.44248658418655396,2010-2020
15,15,aboriginal,0.4946964383125305,1990-2000,diaspora,0.4395337402820587,2010-2020
16,16,monophyletic,0.4916091561317444,1990-2000,geography,0.43426409363746643,2010-2020
17,17,heterogenous,0.4913821220397949,1990-2000,admixed,0.4330156147480011,2010-2020
18,18,heterogeneous,0.4860960841178894,1990-2000,marginalized,0.43180692195892334,2010-2020
19,19,divergent,0.4845274090766907,1990-2000,variation,0.4307621121406555,2010-2020
20,20,caucasoid,0.48091551661491394,1990-2000,divergent,0.42870232462882996,2010-2020
21,21,founding,0.4797249436378479,1990-2000,disparate,0.4280148446559906,2010-2020
22,22,taxon,0.4733181893825531,1990-2000,relatedness,0.42610031366348267,2010-2020
23,23,unique,0.46516841650009155,1990-2000,divergence,0.42587247490882874,2010-2020
24,24,ancestry,0.4628294110298157,1990-2000,orang,0.4227002263069153,2010-2020
25,25,kuna,0.46160030364990234,1990-2000,monophyletic,0.4221988320350647,2010-2020
26,26,broader,0.45896363258361816,1990-2000,phylogeographic,0.4207632541656494,2010-2020
27,27,evolutionary,0.45243266224861145,1990-2000,matrilineal,0.4193715751171112,2010-2020
28,28,tribe,0.4504522383213043,1990-2000,prehistoric,0.4163629710674286,2010-2020
29,29,celtic,0.45010218024253845,1990-2000,heterogeneity,0.41615530848503113,2010-2020
30,30,papua_new_guinea,0.44819143414497375,1990-2000,richness,0.41544821858406067,2010-2020
31,31,geographically,0.443521112203598,1990-2000,inhabiting,0.4150947630405426,2010-2020
32,32,navajo,0.443024605512619,1990-2000,multicultural,0.41404902935028076,2010-2020
33,33,amazon,0.4412090480327606,1990-2000,diversification,0.4129110872745514,2010-2020
34,34,geographical,0.44060564041137695,1990-2000,nomadic,0.4126558005809784,2010-2020
35,35,linguistically,0.44059738516807556,1990-2000,colombian,0.41112035512924194,2010-2020
36,36,socialdiversification,0.4388370215892792,1990-2000,structuring,0.41092449426651,2010-2020
37,37,sympatric,0.4386080205440521,1990-2000,peruvian,0.40947505831718445,2010-2020
38,38,phylum,0.438071072101593,1990-2000,polynesian,0.4073002338409424,2010-2020
39,39,south_american,0.4372383952140808,1990-2000,subsistence,0.40320876240730286,2010-2020
40,40,bedouin,0.4372164309024811,1990-2000,broad,0.4029403626918793,2010-2020
41,41,diversification,0.43659043312072754,1990-2000,inhabited,0.3986164331436157,2010-2020
42,42,jew,0.4362734854221344,1990-2000,lowland,0.397747278213501,2010-2020
43,43,sephardic,0.4362069368362427,1990-2000,iberian,0.39749452471733093,2010-2020
44,44,bacterioplankton,0.43565449118614197,1990-2000,south_american,0.3947891294956207,2010-2020
45,45,distinctive,0.4347604811191559,1990-2000,utan,0.3945613205432892,2010-2020
46,46,phylogeny,0.43415364623069763,1990-2000,andean,0.39406296610832214,2010-2020
47,47,asian,0.43407681584358215,1990-2000,neotropical,0.39342713356018066,2010-2020
48,48,variation,0.433188796043396,1990-2000,heritage,0.3930239677429199,2010-2020
49,49,bottleneck,0.4318779408931732,1990-2000,distinct,0.39274218678474426,2010-2020
