,rank,term_x,score_x,year_x,term_y,score_y,year_y
0,0,racial,0.6825897693634033,1990-2000,racially,0.6056385636329651,2010-2020
1,1,race,0.656745195388794,1990-2000,nationality,0.5931435227394104,2010-2020
2,2,hispanic,0.6544816493988037,1990-2000,puerto_rican,0.5887832045555115,2010-2020
3,3,nativeamerican,0.6418685913085938,1990-2000,asianamerican,0.5735158324241638,2010-2020
4,4,nationality,0.6412506699562073,1990-2000,pakistani,0.569005012512207,2010-2020
5,5,racially,0.6265227794647217,1990-2000,nativity,0.5625962615013123,2010-2020
6,6,asian,0.6208281517028809,1990-2000,hispanic,0.5621367692947388,2010-2020
7,7,ancestry,0.6157366037368774,1990-2000,arab,0.5572566986083984,2010-2020
8,8,puerto_rican,0.6059087514877319,1990-2000,amerindian,0.5515011548995972,2010-2020
9,9,tribe,0.6009568572044373,1990-2000,moroccan,0.5499681830406189,2010-2020
10,10,africanamerican,0.5983635187149048,1990-2000,latino,0.5491988658905029,2010-2020
11,11,nativeamericans,0.595862865447998,1990-2000,race,0.5488579273223877,2010-2020
12,12,afro,0.5953014492988586,1990-2000,asianamericans,0.5474798679351807,2010-2020
13,13,minoritygroups,0.5935647487640381,1990-2000,caucasian,0.5473321080207825,2010-2020
14,14,minoritypopulations,0.5920181274414062,1990-2000,multiracial,0.5457930564880371,2010-2020
15,15,socioeconomically,0.5873119831085205,1990-2000,nativeamerican,0.5444584488868713,2010-2020
16,16,minority,0.5869307518005371,1990-2000,nonwhite,0.5418844819068909,2010-2020
17,17,americanindian,0.5832542181015015,1990-2000,jewish,0.5300068855285645,2010-2020
18,18,tribal,0.5787178874015808,1990-2000,filipino,0.5295929312705994,2010-2020
19,19,malay,0.5776246786117554,1990-2000,mestizo,0.5274637341499329,2010-2020
20,20,geographic,0.577311635017395,1990-2000,minoritygroups,0.5262395143508911,2010-2020
21,21,geographically,0.576446533203125,1990-2000,racial,0.5239829421043396,2010-2020
22,22,eskimo,0.5758215188980103,1990-2000,minoritypopulations,0.5212504267692566,2010-2020
23,23,caucasian,0.5750060677528381,1990-2000,immigrant,0.5211584568023682,2010-2020
24,24,socialclass,0.5747435092926025,1990-2000,africanamericans,0.5204458832740784,2010-2020
25,25,geographical,0.5743296146392822,1990-2000,africanamerican,0.5201831459999084,2010-2020
26,26,americanindians,0.5729323029518127,1990-2000,population,0.520108163356781,2010-2020
27,27,indian,0.5708600878715515,1990-2000,javanese,0.519268810749054,2010-2020
28,28,africanamericans,0.5684055089950562,1990-2000,ancestry,0.5189210772514343,2010-2020
29,29,australian,0.5670819282531738,1990-2000,nonhispanic,0.5161766409873962,2010-2020
30,30,mexican,0.5661674737930298,1990-2000,jew,0.5161165595054626,2010-2020
31,31,caribbean,0.5619523525238037,1990-2000,pacificislander,0.5142583847045898,2010-2020
32,32,nonwhite,0.5616005659103394,1990-2000,americanindian,0.5115373134613037,2010-2020
33,33,nigerian,0.5604923963546753,1990-2000,nonhispanicwhites,0.5108414888381958,2010-2020
34,34,socioeconomic,0.5604322552680969,1990-2000,bedouin,0.5097468495368958,2010-2020
35,35,amerindian,0.5580025911331177,1990-2000,nativehawaiian,0.5044392347335815,2010-2020
36,36,lowincome,0.5488641262054443,1990-2000,surinamese,0.5032831430435181,2010-2020
37,37,migrant,0.5454592704772949,1990-2000,bangladeshi,0.5022408366203308,2010-2020
38,38,south_african,0.5443172454833984,1990-2000,vietnamese,0.5014182329177856,2010-2020
39,39,nonhispanic,0.5432553291320801,1990-2000,asian,0.4999869465827942,2010-2020
40,40,locality,0.542794406414032,1990-2000,malay,0.496396005153656,2010-2020
41,41,surname,0.5408893823623657,1990-2000,somali,0.4951978325843811,2010-2020
42,42,filipino,0.5395198464393616,1990-2000,nonhispanicwhite,0.49462684988975525,2010-2020
43,43,irish,0.5387767553329468,1990-2000,cuban,0.494230717420578,2010-2020
44,44,polynesian,0.5385261178016663,1990-2000,mexican,0.492689847946167,2010-2020
45,45,latino,0.5381870269775391,1990-2000,noncaucasian,0.4920371174812317,2010-2020
46,46,spanish,0.5379130840301514,1990-2000,gender,0.4908876121044159,2010-2020
47,47,cultural,0.5345525741577148,1990-2000,afro,0.4894866347312927,2010-2020
48,48,nonhispanicwhite,0.5340840220451355,1990-2000,americanindians,0.4871012270450592,2010-2020
49,49,alaskanative,0.5323772430419922,1990-2000,indian,0.4853784143924713,2010-2020
