,rank,term_x,score_x,year_x,term_y,score_y,year_y
0,0,ethnic,0.7460803389549255,1990-2000,ethnicity,0.6476131677627563,2010-2020
1,1,ethnicity,0.7439098954200745,1990-2000,hispanic,0.6232430338859558,2010-2020
2,2,hispanic,0.6663599014282227,1990-2000,ethnic,0.6074115037918091,2010-2020
3,3,africanamerican,0.6333996057510376,1990-2000,nativity,0.5851664543151855,2010-2020
4,4,africanamericans,0.629657506942749,1990-2000,africanamerican,0.5821321606636047,2010-2020
5,5,nonwhite,0.6226044297218323,1990-2000,nonwhite,0.5780478715896606,2010-2020
6,6,asian,0.6159881353378296,1990-2000,black,0.5708229541778564,2010-2020
7,7,afro,0.6156070828437805,1990-2000,africanamericans,0.5670751929283142,2010-2020
8,8,nativeamerican,0.6077340245246887,1990-2000,latino,0.5668025612831116,2010-2020
9,9,black,0.6041298508644104,1990-2000,minoritygroups,0.55905681848526,2010-2020
10,10,minoritypopulations,0.6039932370185852,1990-2000,nonhispanic,0.557774543762207,2010-2020
11,11,minoritygroups,0.5881199240684509,1990-2000,whiteamericans,0.5559808611869812,2010-2020
12,12,minority,0.5834665894508362,1990-2000,asianamerican,0.551664412021637,2010-2020
13,13,nonblack,0.5808822512626648,1990-2000,nonhispanicwhites,0.5507128238677979,2010-2020
14,14,nonhispanic,0.574547529220581,1990-2000,nonhispanicwhite,0.5470479130744934,2010-2020
15,15,americanindians,0.5709933638572693,1990-2000,asianamericans,0.5463645458221436,2010-2020
16,16,socialclass,0.5707664489746094,1990-2000,multiracial,0.542137086391449,2010-2020
17,17,nonasian,0.5694026947021484,1990-2000,white,0.5408059358596802,2010-2020
18,18,white,0.5683533549308777,1990-2000,sexualorientation,0.5400344729423523,2010-2020
19,19,caucasian,0.567247211933136,1990-2000,nonhispanicblack,0.5372408032417297,2010-2020
20,20,nativeamericans,0.5649298429489136,1990-2000,americanindianalaskanative,0.5365588068962097,2010-2020
21,21,puerto_rican,0.5644031763076782,1990-2000,ethnically,0.5362794995307922,2010-2020
22,22,latino,0.5567293167114258,1990-2000,nonhispanicblacks,0.5341842174530029,2010-2020
23,23,nationality,0.5545093417167664,1990-2000,nonblack,0.5325424671173096,2010-2020
24,24,nonhispanicwhites,0.5521312952041626,1990-2000,asianpacificislander,0.5245827436447144,2010-2020
25,25,ethnically,0.5516807436943054,1990-2000,aian,0.5231989026069641,2010-2020
26,26,gender,0.5493231415748596,1990-2000,nhw,0.511527419090271,2010-2020
27,27,caribbean,0.5481115579605103,1990-2000,nhws,0.5098580121994019,2010-2020
28,28,nonhispanicwhite,0.5480881929397583,1990-2000,blackwhite,0.5086280107498169,2010-2020
29,29,ancestry,0.5480567216873169,1990-2000,gender,0.5056568384170532,2010-2020
30,30,filipino,0.5479977130889893,1990-2000,disparity,0.5035536885261536,2010-2020
31,31,asianamericans,0.5464950799942017,1990-2000,americanindian,0.5007895827293396,2010-2020
32,32,eskimo,0.5463685393333435,1990-2000,minoritypopulations,0.5000397562980652,2010-2020
33,33,nonwhites,0.5458357334136963,1990-2000,minority,0.49886059761047363,2010-2020
34,34,nigerian,0.5414788722991943,1990-2000,nonhispanics,0.49573639035224915,2010-2020
35,35,malay,0.540359377861023,1990-2000,alaskanatives,0.4929056465625763,2010-2020
36,36,asianamerican,0.5372490882873535,1990-2000,minoritypopulation,0.4902019500732422,2010-2020
37,37,socioeconomically,0.5360018610954285,1990-2000,aians,0.48542994260787964,2010-2020
38,38,americanindian,0.5338664054870605,1990-2000,puerto_rican,0.48501962423324585,2010-2020
39,39,south_african,0.528671383857727,1990-2000,minoritygroup,0.48493099212646484,2010-2020
40,40,geographic,0.525434672832489,1990-2000,noncaucasian,0.4779604375362396,2010-2020
41,41,mexican,0.5182451009750366,1990-2000,nativehawaiians,0.4745465815067291,2010-2020
42,42,indian,0.517398476600647,1990-2000,nhb,0.46812060475349426,2010-2020
43,43,geographical,0.5136499404907227,1990-2000,acculturation,0.4679006040096283,2010-2020
44,44,acculturation,0.5116184949874878,1990-2000,nativehawaiian,0.46786537766456604,2010-2020
45,45,nonhispanics,0.511452317237854,1990-2000,latina,0.46487268805503845,2010-2020
46,46,socioeconomic,0.508960485458374,1990-2000,sex,0.464567631483078,2010-2020
47,47,socialbiases,0.5085670351982117,1990-2000,americanindians,0.4634092152118683,2010-2020
48,48,lowincome,0.5046916007995605,1990-2000,racism,0.46213218569755554,2010-2020
49,49,alaskanatives,0.5030558705329895,1990-2000,nonwhites,0.45987915992736816,2010-2020
