,rank,term_x,score_x,year_x,term_y,score_y,year_y
0,0,ethnic,0.7467264533042908,1990-2000,ethnicity,0.6483792066574097,2010-2020
1,1,ethnicity,0.7371126413345337,1990-2000,nativity,0.6255629658699036,2010-2020
2,2,hispanic,0.6445877552032471,1990-2000,ethnic,0.6164243817329407,2010-2020
3,3,africanamerican,0.6202831268310547,1990-2000,hispanic,0.6093226671218872,2010-2020
4,4,nonwhite,0.5981760621070862,1990-2000,asianamerican,0.5999549031257629,2010-2020
5,5,africanamericans,0.5882200002670288,1990-2000,nonwhite,0.5932709574699402,2010-2020
6,6,nationality,0.5878832340240479,1990-2000,minoritygroups,0.5771936774253845,2010-2020
7,7,black,0.5777278542518616,1990-2000,black,0.5692968964576721,2010-2020
8,8,nativeamerican,0.5769137144088745,1990-2000,africanamerican,0.5618417859077454,2010-2020
9,9,minoritygroups,0.5704924464225769,1990-2000,latino,0.561638355255127,2010-2020
10,10,socialclass,0.5648345351219177,1990-2000,whiteamericans,0.5547910332679749,2010-2020
11,11,asian,0.56346595287323,1990-2000,multiracial,0.554148256778717,2010-2020
12,12,ethnically,0.5608053803443909,1990-2000,nonhispanicwhite,0.5509172677993774,2010-2020
13,13,minority,0.5606434345245361,1990-2000,nonblack,0.5433533191680908,2010-2020
14,14,afro,0.5546126365661621,1990-2000,white,0.5420138835906982,2010-2020
15,15,gender,0.5495021343231201,1990-2000,asianamericans,0.5397006869316101,2010-2020
16,16,asianamericans,0.5468743443489075,1990-2000,asianpacificislander,0.5376124978065491,2010-2020
17,17,caribbean,0.5466514229774475,1990-2000,noncaucasian,0.5340059995651245,2010-2020
18,18,nonhispanicwhites,0.5451753735542297,1990-2000,sexualorientation,0.5338372588157654,2010-2020
19,19,minoritypopulations,0.5450279712677002,1990-2000,nonhispanicblack,0.5317062735557556,2010-2020
20,20,caucasian,0.5446177124977112,1990-2000,africanamericans,0.5306735038757324,2010-2020
21,21,nonblack,0.5440686345100403,1990-2000,nonhispanic,0.5284312963485718,2010-2020
22,22,nonasian,0.5428120493888855,1990-2000,aian,0.5203163027763367,2010-2020
23,23,americanindians,0.542436957359314,1990-2000,americanindianalaskanative,0.5174920558929443,2010-2020
24,24,nativeamericans,0.5331573486328125,1990-2000,gender,0.5168651938438416,2010-2020
25,25,white,0.5319170951843262,1990-2000,nhw,0.5151649117469788,2010-2020
26,26,latino,0.5289389491081238,1990-2000,ethnically,0.5146034955978394,2010-2020
27,27,tribe,0.5274419784545898,1990-2000,nonhispanicwhites,0.5097594857215881,2010-2020
28,28,geographic,0.526889979839325,1990-2000,disparity,0.5022912621498108,2010-2020
29,29,ancestry,0.5266742706298828,1990-2000,nonhispanics,0.4987277686595917,2010-2020
30,30,tribal,0.5249622464179993,1990-2000,nonhispanicblacks,0.49710771441459656,2010-2020
31,31,socioeconomic,0.5235571265220642,1990-2000,minoritygroup,0.49555298686027527,2010-2020
32,32,nonhispanicwhite,0.5167183876037598,1990-2000,minority,0.4926796555519104,2010-2020
33,33,nigerian,0.515028715133667,1990-2000,nhws,0.4852762818336487,2010-2020
34,34,filipino,0.5149399042129517,1990-2000,americanindian,0.48444417119026184,2010-2020
35,35,south_african,0.5117703676223755,1990-2000,minoritypopulations,0.4827025234699249,2010-2020
36,36,amerindian,0.50886470079422,1990-2000,acculturation,0.4803999364376068,2010-2020
37,37,nonhispanic,0.5081486701965332,1990-2000,nativehawaiian,0.47371935844421387,2010-2020
38,38,heritage,0.5076574087142944,1990-2000,aians,0.47311511635780334,2010-2020
39,39,puerto_rican,0.507257342338562,1990-2000,nativehawaiians,0.47038906812667847,2010-2020
40,40,mexican,0.5071592330932617,1990-2000,latina,0.4702899158000946,2010-2020
41,41,sex,0.4998518228530884,1990-2000,alaskanative,0.4692579209804535,2010-2020
42,42,indian,0.4991520047187805,1990-2000,blackwhite,0.469154953956604,2010-2020
43,43,asianamerican,0.49833059310913086,1990-2000,nationality,0.4639885127544403,2010-2020
44,44,geographical,0.49755600094795227,1990-2000,sex,0.45968300104141235,2010-2020
45,45,malay,0.4970385730266571,1990-2000,racism,0.4577312469482422,2010-2020
46,46,americanindian,0.49626901745796204,1990-2000,alaskanatives,0.4576256275177002,2010-2020
47,47,australian,0.48745766282081604,1990-2000,americanindians,0.4524080157279968,2010-2020
48,48,sociodemographic,0.4874313473701477,1990-2000,asianpacificislanders,0.4515972137451172,2010-2020
49,49,eskimo,0.4864238500595093,1990-2000,enclave,0.4498435854911804,2010-2020
