,group,1990-2000,2010-2020
0,Asian,0.1836576908826828,0.10658548772335052
1,Latino,0.08808914572000504,0.09452547878026962
2,Hispanic,0.0995485708117485,0.07099954783916473
3,Caucasian,0.1543625295162201,0.02839091047644615
4,White,-0.002650810405611992,0.028805512934923172
5,Black,0.030569227412343025,0.05853094160556793
6,African American,0.054992154240608215,0.043294571340084076
7,Ethnicity,0.09447610378265381,0.07499149441719055
8,Ethnic,0.22579580545425415,0.17736047506332397
9,Racial,0.23084037005901337,0.13509005308151245
10,Race,0.06736890971660614,0.03890419006347656
