,group,1990-2000,2010-2020
0,Asian,0.24538695812225342,0.13069871068000793
1,Latino,0.11544528603553772,0.12872500717639923
2,Hispanic,0.15508881211280823,0.08580349385738373
3,Caucasian,0.1797632873058319,0.04405872896313667
4,White,0.02541392110288143,0.045943163335323334
5,Black,0.07174853980541229,0.07331562787294388
6,African American,0.10290823876857758,0.0558958537876606
7,Ethnicity,0.149944469332695,0.12344134598970413
8,Ethnic,0.2484307885169983,0.20315521955490112
9,Racial,0.2344648540019989,0.1699579358100891
10,Race,0.09894748777151108,0.06606506556272507
