,group,1990-2000,2010-2020
0,Asian,0.3603343367576599,0.17516380548477173
1,Latino,0.2248496413230896,0.16707414388656616
2,Hispanic,0.24034366011619568,0.11088189482688904
3,Caucasian,0.3126368820667267,0.09052863717079163
4,White,0.10028377175331116,0.08158496022224426
5,Black,0.14626866579055786,0.10616236180067062
6,African American,0.19208873808383942,0.09940649569034576
7,Ethnicity,0.17747341096401215,0.1714523732662201
8,Ethnic,0.3323194980621338,0.23735351860523224
9,Racial,0.3118445873260498,0.2027333676815033
10,Race,0.1456063985824585,0.09730333089828491
