fk_pmid,year,abstract,diversity,soc_diversity,h1_totals,h2_totals,h3_totals
25863819,2015,"This study examinedrisk and resilience factors associated with posttraumatic stress symptomatology (PTSS) in an ethno-racially diverse sample of Hawai׳i National Guard members comprised of Native Hawaiians, Filipino Americans, Japanese Americans, and European Americans. In the full sample, identifying as Japanese American and higher scores on measures of perceived social support and psychological resilience were negatively associated with PTSS, while Army Guard (vs. Air Guard) status and stronger family norms against disclosing mental health problems were positively associated with PTSS. Exploratory analyses of ethno-racial subgroups identified different patterns of within and between-group correlates of PTSS. For example, when controlling for other factors, higher psychological resilience scores were negatively associated with PTSS only among Native Hawaiian and European Americans. Overall, results of this study suggest that some risk and resilience factors associated with posttraumatic stress disorder (PTSD) may extend to military populations with high numbers of Filipino American, Japanese American, and Native Hawaiian Veterans. Results further suggest differences in risk and resilience factors unique to specific ethno-racial subgroups. ",1,1,4,6,20
24116118,2013,"BACKGROUND:
The yersiniae (Enterobacteriaceae) occupy a variety of niches, including some in human and flea hosts. Metabolic adaptations of the yersiniae, which contribute to their success in these specialized environments, remain largely unknown. We report results of an investigation of the transcriptome under aerobic and anaerobic conditions for Y. intermedia, a non-pathogenic member of the genus that has been used as a research surrogate for Y. pestis. Y. intermedia shares characteristics of pathogenic yersiniae, but is not known to cause disease in humans. Oxygen restriction is an important environmental stimulus experienced by many bacteria during their life-cycles and greatly influences their survival in specific environments. How oxygen availability affects physiology in the yersiniae is of importance in their life cycles but has not been extensively characterized.
RESULTS:
Tiled oligonucleotide arrays based on a draft genome sequence of Y. intermedia were used in transcript profiling experiments to identify genes that change expression in response to oxygen availability during growth in minimal media with glucose. The expression of more than 400 genes, constituting about 10% of the genome, was significantly altered due to oxygen-limitation in early log phase under these conditions. Broad functional categorization indicated that, in addition to genes involved in central metabolism, genes involved in adaptation to stress and genes likely involved with host interactions were affected by oxygen-availability. Notable among these, were genes encoding functions for motility, chemotaxis and biosynthesis of cobalamin, which were up-regulated and those for iron/heme utilization, methionine metabolism and urease, which were down-regulated.
CONCLUSIONS:
This is the first transcriptome analysis of a non-pathogenic Yersinia spp. and one of few elucidating the global response to oxygen limitation for any of the yersiniae. Thus this study lays the foundation for further experimental characterization of oxygen-responsive genes and pathways in this ecologically diverse genus.
",1,0,1,0,0
31432508,2019,"Dysregulation of the epigenetic status of long noncoding RNAs (lncRNAs) has been linked to diverse human diseases including human cancers. However, the landscape of the whole-genome methylation profile of lncRNAs and the precise roles of these lncRNAs remain elusive in renal cell carcinoma (RCC). We first examined lncRNA expression profiles in RCC tissues and corresponding adjacent normal tissues (NTs) to identify the lncRNA signature of RCC, then lncRNA Promoter Microarray was performed to depict the whole-genome methylation profile of lncRNAs in RCC. Combined analysis of the lncRNAs expression profiles and lncRNAs Promoter Microarray identified a series of downregulated lncRNAs with hypermethylated promoter regions, including NR_023387. Quantitative real-time polymerase chain reaction (RT-PCR) implied that NR_023387 was significantly downregulated in RCC tissues and cell lines, and lower expression of NR_023387 was correlated with shorter overall survival. Methylation-specific PCR, MassARRAY, and demethylation drug treatment indicated that hypermethylation in the NR_023387 promoter contributed to its silencing in RCC. Besides, HNF4A regulated the expression of NR_023387 via transcriptional activation. Functional experiments demonstrated NR_023387 exerted tumor-suppressive roles in RCC via suppressing the proliferation, migration, invasion, tumor growth, and metastasis of RCC. Furthermore, we identified MGP as a putative downstream molecule of NR_023387, which promoted the epithelial-mesenchymal transition of RCC cells. Our study provides the first whole-genome lncRNA methylation profile in RCC. Our combined analysis identifies a tumor-suppressive and prognosis-related lncRNA NR_023387, which is silenced in RCC via promoter hypermethylation and HNF4A deficiency, and may exert its tumor-suppressive roles by downregulating the oncogenic MGP.",1,0,1,0,0
30279473,2018,"Chagas disease is a complex illness caused by the protozoan Trypanosoma cruzi displaying highly diverse clinical outcomes. In this sense, the genome sequence elucidation and comparison between strains may lead to disease understanding. Here, two new T. cruzi strains, have been sequenced, Y using Illumina and Bug2148 using PacBio, assembled, analyzed and compared with the T. cruzi annotated genomes available to date. The assembly stats from the new sequences show effective improvement of T. cruzi genome over the actual ones. Such as, the largest contig assembled (1.3 Mb in Bug2148) in de novo attempts and the highest mean assembly coverage (71X for Y). Our analysis reveals a new genomic expansion and greater complexity for those multi-copy gene families related to infection process and disease development, such as Trans-sialidases, Mucins and Mucin Associated Surface Proteins, among others. On one side, we demonstrate that multi-copy gene families are located near telomeric regions of the ""chromosome-like"" 1.3 Mb contig assembled of Bug2148, where they likely suffer high evolutive pressure. On the other hand, we identified several strain-specific single copy genes that might help to understand the differences in infectivity and physiology among strains. In summary, our results indicate that T. cruzi has a complex genomic architecture that may have promoted its evolution.",1,0,1,0,0
24748395,2014,"BACKGROUND:
Recent multi-centre trials showed that dihydroartemisinin-piperaquine (DP) was as efficacious and safe as artemether-lumefantrine (AL) for treatment of young children with uncomplicated P. falciparum malaria across diverse transmission settings in Africa. Longitudinal follow-up of patients in these trials supported previous findings that DP had a longer post-treatment prophylactic effect than AL, reducing the risk of reinfection and conferring additional health benefits to patients, particularly in areas with moderate to high malaria transmission.
METHODS:
We developed a Markov model to assess the cost-effectiveness of DP versus AL for first-line treatment of uncomplicated malaria in young children from the provider perspective, taking into consideration the post-treatment prophylactic effects of the drugs as reported by a recent multi-centre trial in Africa and using the maximum manufacturer drug prices for artemisinin-based combination therapies set by the Global Fund in 2013. We estimated the price per course of treatment threshold above which DP would cease to be a cost-saving alternative to AL as a first-line antimalarial drug.
RESULTS:
First-line treatment with DP compared to AL averted 0.03 DALYs (95% CI: 0.006-0.07) and 0.001 deaths (95% CI: 0.00-0.002) and saved $0.96 (95% CI: 0.33-2.46) per child over one year. The results of the threshold analysis showed that DP remained cost-saving over AL for any DP cost below $1.23 per course of treatment.
CONCLUSIONS:
DP is superior to AL from both the clinical and economic perspectives for treatment of uncomplicated P. falciparum malaria in young children. A paediatric dispersible formulation of DP is under development and should facilitate a targeted deployment of this antimalarial drug. The use of DP as first-line antimalarial drug in paediatric malaria patients in moderate to high transmission areas of Africa merits serious consideration by health policymakers.
",1,1,8,0,3
31303294,2019,"BACKGROUND:
Influenza virus, respiratory syncytial virus, parainfluenza virus, and metapneumovirus are the most common viruses associated with acute lower respiratory infections in young children (<5 years) and older people (≥65 years). A global report of the monthly activity of these viruses is needed to inform public health strategies and programmes for their control.
METHODS:
In this systematic analysis, we compiled data from a systematic literature review of studies published between Jan 1, 2000, and Dec 31, 2017; online datasets; and unpublished research data. Studies were eligible for inclusion if they reported laboratory-confirmed incidence data of human infection of influenza virus, respiratory syncytial virus, parainfluenza virus, or metapneumovirus, or a combination of these, for at least 12 consecutive months (or 52 weeks equivalent); stable testing practice throughout all years reported; virus results among residents in well-defined geographical locations; and aggregated virus results at least on a monthly basis. Data were extracted through a three-stage process, from which we calculated monthly annual average percentage (AAP) as the relative strength of virus activity. We defined duration of epidemics as the minimum number of months to account for 75% of annual positive samples, with each component month defined as an epidemic month. Furthermore, we modelled monthly AAP of influenza virus and respiratory syncytial virus using site-specific temperature and relative humidity for the prediction of local average epidemic months. We also predicted global epidemic months of influenza virus and respiratory syncytial virus on a 5° by 5° grid. The systematic review in this study is registered with PROSPERO, number CRD42018091628.
FINDINGS:
We initally identified 37 335 eligible studies. Of 21 065 studies remaining after exclusion of duplicates, 1081 full-text articles were assessed for eligibility, of which 185 were identified as eligible. We included 246 sites for influenza virus, 183 sites for respiratory syncytial virus, 83 sites for parainfluenza virus, and 65 sites for metapneumovirus. Influenza virus had clear seasonal epidemics in winter months in most temperate sites but timing of epidemics was more variable and less seasonal with decreasing distance from the equator. Unlike influenza virus, respiratory syncytial virus had clear seasonal epidemics in both temperate and tropical regions, starting in late summer months in the tropics of each hemisphere, reaching most temperate sites in winter months. In most temperate sites, influenza virus epidemics occurred later than respiratory syncytial virus (by 0·3 months [95% CI -0·3 to 0·9]) while no clear temporal order was observed in the tropics. Parainfluenza virus epidemics were found mostly in spring and early summer months in each hemisphere. Metapneumovirus epidemics occurred in late winter and spring in most temperate sites but the timing of epidemics was more diverse in the tropics. Influenza virus epidemics had shorter duration (3·8 months [3·6 to 4·0]) in temperate sites and longer duration (5·2 months [4·9 to 5·5]) in the tropics. Duration of epidemics was similar across all sites for respiratory syncytial virus (4·6 months [4·3 to 4·8]), as it was for metapneumovirus (4·8 months [4·4 to 5·1]). By comparison, parainfluenza virus had longer duration of epidemics (6·3 months [6·0 to 6·7]). Our model had good predictability in the average epidemic months of influenza virus in temperate regions and respiratory syncytial virus in both temperate and tropical regions. Through leave-one-out cross validation, the overall prediction error in the onset of epidemics was within 1 month (influenza virus -0·2 months [-0·6 to 0·1]; respiratory syncytial virus 0·1 months [-0·2 to 0·4]).
INTERPRETATION:
This study is the first to provide global representations of month-by-month activity of influenza virus, respiratory syncytial virus, parainfluenza virus, and metapneumovirus. Our model is helpful in predicting the local onset month of influenza virus and respiratory syncytial virus epidemics. The seasonality information has important implications for health services planning, the timing of respiratory syncytial virus passive prophylaxis, and the strategy of influenza virus and future respiratory syncytial virus vaccination.
FUNDING:
European Union Innovative Medicines Initiative Respiratory Syncytial Virus Consortium in Europe (RESCEU).
",1,1,4,0,2
22699611,2012,"Gut microbial communities represent one source of human genetic and metabolic diversity. To examine how gut microbiomes differ among human populations, here we characterize bacterial species in fecal samples from 531 individuals, plus the gene content of 110 of them. The cohort encompassed healthy children and adults from the Amazonas of Venezuela, rural Malawi and US metropolitan areas and included mono- and dizygotic twins. Shared features of the functional maturation of the gut microbiome were identified during the first three years of life in all three populations, including age-associated changes in the genes involved in vitamin biosynthesis and metabolism. Pronounced differences in bacterial assemblages and functional gene repertoires were noted between US residents and those in the other two countries. These distinctive features are evident in early infancy as well as adulthood. Our findings underscore the need to consider the microbiome when evaluating human development, nutritional needs, physiological variations and the impact of westernization.",1,1,5,0,3
22202706,2012,"OBJECTIVE:
High-quality care for intensive care unit patients and families includes palliative care. To promote performance improvement, the Agency for Healthcare Research and Quality's National Quality Measures Clearinghouse identified nine evidence-based processes of intensive care unit palliative care (Care and Communication Bundle) that are measured through review of medical record documentation. We conducted this study to examine how frequently the Care and Communication Bundle processes were performed in diverse intensive care units and to understand patient factors that are associated with such performance.
METHODS:
Prospective, multisite, observational study of performance of key intensive care unit palliative care processes.
METHODS:
A surgical intensive care unit and a medical intensive care unit in two different large academic health centers and a medical-surgical intensive care unit in a medium-sized community hospital.
METHODS:
Consecutive adult patients with length of intensive care unit stay ≥5 days.
METHODS:
None.
RESULTS:
Between November 2007 and December 2009, we measured performance by specified day after intensive care unit admission on nine care process measures: Identify medical decision-maker, advance directive and resuscitation preference, distribute family information leaflet, assess and manage pain, offer social work and spiritual support, and conduct interdisciplinary family meeting. Multivariable regression analysis was used to determine predictors of performance of five care processes. We enrolled 518 (94.9%) patients and 336 (83.6%) family members. Performances on pain assessment and management measures were high. In contrast, interdisciplinary family meetings were documented for <20% of patients by intensive care unit day 5. Performance on other measures ranged from 8% to 43%, with substantial variation across and within sites. Chronic comorbidity burden and site were the most consistent predictors of care process performance.
CONCLUSIONS:
Across three intensive care units in this study, performance of key palliative care processes (other than pain assessment and management) was inconsistent and infrequent. Available resources and strategies should be utilized for performance improvement in this area of high importance to patients, families, and providers.
",1,1,2,0,0
21507501,2011,"Fuelled by new sequencing technologies, epigenome mapping projects are revealing epigenomic variation at all levels of biological complexity, from species to cells. Comparisons of methylation profiles among species reveal evolutionary conservation of gene body methylation patterns, pointing to the fundamental role of epigenomes in gene regulation. At the human population level, epigenomic changes provide footprints of the effects of genomic variants within the vast nonprotein-coding fraction of the genome, and comparisons of the epigenomes of parents and their offspring point to quantitative epigenomic parent-of-origin effects confounding classical Mendelian genetics. At the organismal level, comparisons of epigenomes from diverse cell types provide insights into cellular differentiation. Finally, comparisons of epigenomes from monozygotic twins help dissect genetic and environmental influences on human phenotypes and longitudinal comparisons reveal aging-associated epigenomic drift. The development of new bioinformatic frameworks for comparative epigenome analysis is putting epigenome maps within the reach of researchers across a wide spectrum of biological disciplines.",1,1,2,0,0
21344380,2011,"Exposure of live cells to shear flow induces major changes in cell shape, adhesion to the extracellular matrix, and migration. In the present study, we show that exposure of cultured multiple myeloma (MM) cells to shear flow of 4-36 dynes/cm(2) triggers the extension of long tubular protrusions (denoted flow-induced protrusions, or FLIPs) in the direction of the flow. These FLIPs were found to be rich in actin, contain few or no microtubules and, apart from endoplasmic reticulum (ER)-like membranal structures, are devoid of organelles. Studying the dynamics of this process revealed that FLIPs elongate at their tips in a shear force-dependent manner, and retract at their bases. Examination of this force dependence revealed considerable heterogeneity in the mechanosensitivity of individual cells, most likely reflecting the diversity of the malignant B cell population. The mechanisms underlying FLIP formation following mechanical perturbation, and their relevance to the cellular trafficking of MM cells, are discussed.",1,0,1,0,0
